"","chr","from","to","data_type","target","cancer_type","labeling_type","repeat"
"377","6",45700000,45800000,"train","X0","bone","99.9.",1
"378","6",45800000,45900000,"train","X0","bone","99.9.",1
"380","6",52900000,5.3e+07,"train","X0","bone","99.9.",1
"381","6",5.5e+07,55100000,"train","X0","bone","99.9.",1
"382","6",56400000,56500000,"train","X0","bone","99.9.",1
"383","6",65600000,65700000,"train","X0","bone","99.9.",1
"384","6",66200000,66300000,"train","X0","bone","99.9.",1
"385","6",67200000,67300000,"train","X0","bone","99.9.",1
"386","6",69700000,69800000,"train","X0","bone","99.9.",1
"387","6",76500000,76600000,"train","X0","bone","99.9.",1
"390","6",79700000,79800000,"train","X0","bone","99.9.",1
"392","6",8e+07,80100000,"train","X0","bone","99.9.",1
"393","6",80600000,80700000,"train","X0","bone","99.9.",1
"394","6",84400000,84500000,"train","X0","bone","99.9.",1
"396","6",90500000,90600000,"train","X0","bone","99.9.",1
"397","6",92600000,92700000,"train","X0","bone","99.9.",1
"398","6",97300000,97400000,"train","X0","bone","99.9.",1
"399","6",108200000,108300000,"train","X0","bone","99.9.",1
"403","6",128700000,128800000,"train","X0","bone","99.9.",1
"407","6",137100000,137200000,"train","X0","bone","99.9.",1
"408","6",137500000,137600000,"train","X0","bone","99.9.",1
"410","6",157400000,157500000,"train","X0","bone","99.9.",1
"411","6",157600000,157700000,"train","X0","bone","99.9.",1
"412","6",159300000,159400000,"train","X0","bone","99.9.",1
"413","6",159900000,1.6e+08,"train","X0","bone","99.9.",1
"414","6",1.6e+08,160100000,"train","X0","bone","99.9.",1
"418","6",169300000,169400000,"train","X0","bone","99.9.",1
"419","6",170300000,170400000,"train","X0","bone","99.9.",1
"421","7",9e+05,1e+06,"train","X0","bone","99.9.",1
"422","7",1100000,1200000,"train","X0","bone","99.9.",1
"423","7",2200000,2300000,"train","X0","bone","99.9.",1
"425","7",5200000,5300000,"train","X0","bone","99.9.",1
"428","7",13900000,1.4e+07,"train","X0","bone","99.9.",1
"431","7",25100000,25200000,"train","X0","bone","99.9.",1
"432","7",32600000,32700000,"train","X0","bone","99.9.",1
"433","7",3.3e+07,33100000,"train","X0","bone","99.9.",1
"434","7",3.5e+07,35100000,"train","X0","bone","99.9.",1
"435","7",39500000,39600000,"train","X0","bone","99.9.",1
"436","7",39800000,39900000,"train","X0","bone","99.9.",1
"437","7",39900000,4e+07,"train","X0","bone","99.9.",1
"438","7",4.5e+07,45100000,"train","X0","bone","99.9.",1
"439","7",51600000,51700000,"train","X0","bone","99.9.",1
"441","7",52500000,52600000,"train","X0","bone","99.9.",1
"444","7",64500000,64600000,"train","X0","bone","99.9.",1
"445","7",6.5e+07,65100000,"train","X0","bone","99.9.",1
"448","7",68700000,68800000,"train","X0","bone","99.9.",1
"449","7",70400000,70500000,"train","X0","bone","99.9.",1
"450","7",71700000,71800000,"train","X0","bone","99.9.",1
"451","7",72100000,72200000,"train","X0","bone","99.9.",1
"453","7",73600000,73700000,"train","X0","bone","99.9.",1
"455","7",74500000,74600000,"train","X0","bone","99.9.",1
"457","7",78100000,78200000,"train","X0","bone","99.9.",1
"459","7",81300000,81400000,"train","X0","bone","99.9.",1
"460","7",85100000,85200000,"train","X0","bone","99.9.",1
"462","7",88400000,88500000,"train","X0","bone","99.9.",1
"464","7",90500000,90600000,"train","X0","bone","99.9.",1
"465","7",91500000,91600000,"train","X0","bone","99.9.",1
"466","7",93800000,93900000,"train","X0","bone","99.9.",1
"467","7",93900000,9.4e+07,"train","X0","bone","99.9.",1
"469","7",95300000,95400000,"train","X0","bone","99.9.",1
"470","7",96200000,96300000,"train","X0","bone","99.9.",1
"471","7",9.8e+07,98100000,"train","X0","bone","99.9.",1
"472","7",99900000,1e+08,"train","X0","bone","99.9.",1
"473","7",1.01e+08,101100000,"train","X0","bone","99.9.",1
"474","7",104400000,104500000,"train","X0","bone","99.9.",1
"475","7",1.2e+08,120100000,"train","X0","bone","99.9.",1
"476","7",120600000,120700000,"train","X0","bone","99.9.",1
"478","7",125700000,125800000,"train","X0","bone","99.9.",1
"479","7",129600000,129700000,"train","X0","bone","99.9.",1
"480","7",130500000,130600000,"train","X0","bone","99.9.",1
"481","7",131900000,1.32e+08,"train","X0","bone","99.9.",1
"484","7",139400000,139500000,"train","X0","bone","99.9.",1
"485","7",141900000,1.42e+08,"train","X0","bone","99.9.",1
"486","7",1.44e+08,144100000,"train","X0","bone","99.9.",1
"487","7",148800000,148900000,"train","X0","bone","99.9.",1
"488","7",150700000,150800000,"train","X0","bone","99.9.",1
"490","7",152400000,152500000,"train","X0","bone","99.9.",1
"492","7",153200000,153300000,"train","X0","bone","99.9.",1
"493","7",157200000,157300000,"train","X0","bone","99.9.",1
"494","7",157300000,157400000,"train","X0","bone","99.9.",1
"495","7",157800000,157900000,"train","X0","bone","99.9.",1
"498","8",1500000,1600000,"train","X0","bone","99.9.",1
"499","8",1700000,1800000,"train","X0","bone","99.9.",1
"500","8",2200000,2300000,"train","X0","bone","99.9.",1
"501","8",6200000,6300000,"train","X0","bone","99.9.",1
"502","8",9600000,9700000,"train","X0","bone","99.9.",1
"503","8",11200000,11300000,"train","X0","bone","99.9.",1
"504","8",22400000,22500000,"train","X0","bone","99.9.",1
"508","8",34500000,34600000,"train","X0","bone","99.9.",1
"509","8",38100000,38200000,"train","X0","bone","99.9.",1
"510","8",5.5e+07,55100000,"train","X0","bone","99.9.",1
"511","8",55300000,55400000,"train","X0","bone","99.9.",1
"512","8",55400000,55500000,"train","X0","bone","99.9.",1
"513","8",55500000,55600000,"train","X0","bone","99.9.",1
"514","8",56300000,56400000,"train","X0","bone","99.9.",1
"515","8",59500000,59600000,"train","X0","bone","99.9.",1
"516","8",60600000,60700000,"train","X0","bone","99.9.",1
"519","8",67800000,67900000,"train","X0","bone","99.9.",1
"520","8",7.5e+07,75100000,"train","X0","bone","99.9.",1
"523","8",76900000,7.7e+07,"train","X0","bone","99.9.",1
"525","8",78200000,78300000,"train","X0","bone","99.9.",1
"526","8",79200000,79300000,"train","X0","bone","99.9.",1
"527","8",79300000,79400000,"train","X0","bone","99.9.",1
"529","8",86300000,86400000,"train","X0","bone","99.9.",1
"530","8",88400000,88500000,"train","X0","bone","99.9.",1
"532","8",91600000,91700000,"train","X0","bone","99.9.",1
"533","8",91900000,9.2e+07,"train","X0","bone","99.9.",1
"535","8",93100000,93200000,"train","X0","bone","99.9.",1
"536","8",93400000,93500000,"train","X0","bone","99.9.",1
"537","8",93600000,93700000,"train","X0","bone","99.9.",1
"538","8",94400000,94500000,"train","X0","bone","99.9.",1
"539","8",94600000,94700000,"train","X0","bone","99.9.",1
"542","8",96700000,96800000,"train","X0","bone","99.9.",1
"543","8",96800000,96900000,"train","X0","bone","99.9.",1
"544","8",96900000,9.7e+07,"train","X0","bone","99.9.",1
"545","8",97800000,97900000,"train","X0","bone","99.9.",1
"546","8",9.9e+07,99100000,"train","X0","bone","99.9.",1
"547","8",101700000,101800000,"train","X0","bone","99.9.",1
"548","8",102600000,102700000,"train","X0","bone","99.9.",1
"549","8",104800000,104900000,"train","X0","bone","99.9.",1
"550","8",104900000,1.05e+08,"train","X0","bone","99.9.",1
"553","8",1.13e+08,113100000,"train","X0","bone","99.9.",1
"554","8",115100000,115200000,"train","X0","bone","99.9.",1
"556","8",122600000,122700000,"train","X0","bone","99.9.",1
"557","8",126500000,126600000,"train","X0","bone","99.9.",1
"559","8",130700000,130800000,"train","X0","bone","99.9.",1
"562","8",137100000,137200000,"train","X0","bone","99.9.",1
"563","8",138800000,138900000,"train","X0","bone","99.9.",1
"564","8",140800000,140900000,"train","X0","bone","99.9.",1
"565","8",143600000,143700000,"train","X0","bone","99.9.",1
"567","9",19300000,19400000,"train","X0","bone","99.9.",1
"568","9",19800000,19900000,"train","X0","bone","99.9.",1
"570","9",21200000,21300000,"train","X0","bone","99.9.",1
"571","9",21700000,21800000,"train","X0","bone","99.9.",1
"572","9",21800000,21900000,"train","X0","bone","99.9.",1
"574","9",2.2e+07,22100000,"train","X0","bone","99.9.",1
"575","9",22100000,22200000,"train","X0","bone","99.9.",1
"577","9",22400000,22500000,"train","X0","bone","99.9.",1
"578","9",23500000,23600000,"train","X0","bone","99.9.",1
"580","9",34100000,34200000,"train","X0","bone","99.9.",1
"582","9",41200000,41300000,"train","X0","bone","99.9.",1
"583","9",42100000,42200000,"train","X0","bone","99.9.",1
"585","9",68800000,68900000,"train","X0","bone","99.9.",1
"586","9",69100000,69200000,"train","X0","bone","99.9.",1
"587","9",76700000,76800000,"train","X0","bone","99.9.",1
"588","9",78400000,78500000,"train","X0","bone","99.9.",1
"589","9",84300000,84400000,"train","X0","bone","99.9.",1
"591","9",87200000,87300000,"train","X0","bone","99.9.",1
"592","9",88400000,88500000,"train","X0","bone","99.9.",1
"596","9",109500000,109600000,"train","X0","bone","99.9.",1
"598","9",112200000,112300000,"train","X0","bone","99.9.",1
"599","9",113400000,113500000,"train","X0","bone","99.9.",1
"601","9",117800000,117900000,"train","X0","bone","99.9.",1
"603","9",120800000,120900000,"train","X0","bone","99.9.",1
"604","9",121600000,121700000,"train","X0","bone","99.9.",1
"605","9",122100000,122200000,"train","X0","bone","99.9.",1
"607","9",122500000,122600000,"train","X0","bone","99.9.",1
"610","9",129700000,129800000,"train","X0","bone","99.9.",1
"611","9",129900000,1.3e+08,"train","X0","bone","99.9.",1
"612","9",130700000,130800000,"train","X0","bone","99.9.",1
"615","9",137300000,137400000,"train","X0","bone","99.9.",1
"616","9",137400000,137500000,"train","X0","bone","99.9.",1
"619","9",138700000,138800000,"train","X0","bone","99.9.",1
"620","9",139800000,139900000,"train","X0","bone","99.9.",1
"621","9",140100000,140200000,"train","X0","bone","99.9.",1
"622","10",2e+06,2100000,"train","X0","bone","99.9.",1
"624","10",10600000,10700000,"train","X0","bone","99.9.",1
"625","10",13500000,13600000,"train","X0","bone","99.9.",1
"626","10",17100000,17200000,"train","X0","bone","99.9.",1
"627","10",17300000,17400000,"train","X0","bone","99.9.",1
"628","10",17500000,17600000,"train","X0","bone","99.9.",1
"629","10",19200000,19300000,"train","X0","bone","99.9.",1
"632","10",23500000,23600000,"train","X0","bone","99.9.",1
"633","10",31400000,31500000,"train","X0","bone","99.9.",1
"634","10",33100000,33200000,"train","X0","bone","99.9.",1
"635","10",37700000,37800000,"train","X0","bone","99.9.",1
"636","10",43700000,43800000,"train","X0","bone","99.9.",1
"638","10",59900000,6e+07,"train","X0","bone","99.9.",1
"639","10",60100000,60200000,"train","X0","bone","99.9.",1
"640","10",64800000,64900000,"train","X0","bone","99.9.",1
"642","10",65600000,65700000,"train","X0","bone","99.9.",1
"643","10",71300000,71400000,"train","X0","bone","99.9.",1
"644","10",71900000,7.2e+07,"train","X0","bone","99.9.",1
"645","10",79700000,79800000,"train","X0","bone","99.9.",1
"646","10",84400000,84500000,"train","X0","bone","99.9.",1
"648","10",89600000,89700000,"train","X0","bone","99.9.",1
"649","10",90300000,90400000,"train","X0","bone","99.9.",1
"651","10",99100000,99200000,"train","X0","bone","99.9.",1
"652","10",99300000,99400000,"train","X0","bone","99.9.",1
"653","10",100200000,100300000,"train","X0","bone","99.9.",1
"654","10",100400000,100500000,"train","X0","bone","99.9.",1
"657","10",101200000,101300000,"train","X0","bone","99.9.",1
"659","10",102200000,102300000,"train","X0","bone","99.9.",1
"660","10",102300000,102400000,"train","X0","bone","99.9.",1
"662","10",105300000,105400000,"train","X0","bone","99.9.",1
"664","10",109100000,109200000,"train","X0","bone","99.9.",1
"665","10",112100000,112200000,"train","X0","bone","99.9.",1
"666","10",119200000,119300000,"train","X0","bone","99.9.",1
"667","10",1.21e+08,121100000,"train","X0","bone","99.9.",1
"668","10",122700000,122800000,"train","X0","bone","99.9.",1
"669","10",126900000,1.27e+08,"train","X0","bone","99.9.",1
"670","10",1.27e+08,127100000,"train","X0","bone","99.9.",1
"671","10",134100000,134200000,"train","X0","bone","99.9.",1
"673","10",135100000,135200000,"train","X0","bone","99.9.",1
"674","11",1e+06,1100000,"train","X0","bone","99.9.",1
"675","11",1100000,1200000,"train","X0","bone","99.9.",1
"676","11",1300000,1400000,"train","X0","bone","99.9.",1
"677","11",1600000,1700000,"train","X0","bone","99.9.",1
"680","11",2200000,2300000,"train","X0","bone","99.9.",1
"683","11",10400000,10500000,"train","X0","bone","99.9.",1
"685","11",15900000,1.6e+07,"train","X0","bone","99.9.",1
"686","11",16100000,16200000,"train","X0","bone","99.9.",1
"687","11",16700000,16800000,"train","X0","bone","99.9.",1
"688","11",29800000,29900000,"train","X0","bone","99.9.",1
