"","chr","from","to","data_type","target","cancer_type","labeling_type","repeat.","chr.1","from.1","to.1","data_type.1","target.1","cancer_type.1","labeling_type.1","repeat..1","chr.2","from.2","to.2","data_type.2","target.2","cancer_type.2","labeling_type.2","repeat..2","chr.3","from.3","to.3","data_type.3","target.3","cancer_type.3","labeling_type.3","repeat..3","chr.4","from.4","to.4","data_type.4","target.4","cancer_type.4","labeling_type.4","repeat..4","chr.5","from.5","to.5","data_type.5","target.5","cancer_type.5","labeling_type.5","repeat..5","chr.6","from.6","to.6","data_type.6","target.6","cancer_type.6","labeling_type.6","repeat..6","chr.7","from.7","to.7","data_type.7","target.7","cancer_type.7","labeling_type.7","repeat..7","chr.8","from.8","to.8","data_type.8","target.8","cancer_type.8","labeling_type.8","repeat..8","chr.9","from.9","to.9","data_type.9","target.9","cancer_type.9","labeling_type.9","repeat..9","chr.10","from.10","to.10","data_type.10","target.10","cancer_type.10","labeling_type.10","repeat..10","chr.11","from.11","to.11","data_type.11","target.11","cancer_type.11","labeling_type.11","repeat..11","chr.12","from.12","to.12","data_type.12","target.12","cancer_type.12","labeling_type.12","repeat..12","chr.13","from.13","to.13","data_type.13","target.13","cancer_type.13","labeling_type.13","repeat..13","chr.14","from.14","to.14","data_type.14","target.14","cancer_type.14","labeling_type.14","repeat..14","chr.15","from.15","to.15","data_type.15","target.15","cancer_type.15","labeling_type.15","repeat..15","chr.16","from.16","to.16","data_type.16","target.16","cancer_type.16","labeling_type.16","repeat..16","chr.17","from.17","to.17","data_type.17","target.17","cancer_type.17","labeling_type.17","repeat..17","chr.18","from.18","to.18","data_type.18","target.18","cancer_type.18","labeling_type.18","repeat..18","chr.19","from.19","to.19","data_type.19","target.19","cancer_type.19","labeling_type.19","repeat..19","chr.20","from.20","to.20","data_type.20","target.20","cancer_type.20","labeling_type.20","repeat..20","chr.21","from.21","to.21","data_type.21","target.21","cancer_type.21","labeling_type.21","repeat..21","chr.22","from.22","to.22","data_type.22","target.22","cancer_type.22","labeling_type.22","repeat..22","chr.23","from.23","to.23","data_type.23","target.23","cancer_type.23","labeling_type.23","repeat..23","chr.24","from.24","to.24","data_type.24","target.24","cancer_type.24","labeling_type.24","repeat..24","chr.25","from.25","to.25","data_type.25","target.25","cancer_type.25","labeling_type.25","repeat..25","chr.26","from.26","to.26","data_type.26","target.26","cancer_type.26","labeling_type.26","repeat..26","chr.27","from.27","to.27","data_type.27","target.27","cancer_type.27","labeling_type.27","repeat..27","chr.28","from.28","to.28","data_type.28","target.28","cancer_type.28","labeling_type.28","repeat..28","chr.29","from.29","to.29","data_type.29","target.29","cancer_type.29","labeling_type.29","repeat..29"
"356","4",138100000,138200000,"train","X0","blood","99.9.",1,"4",71900000,7.2e+07,"train","X0","blood","99.9.",2,"4",131300000,131400000,"train","X0","blood","99.9.",3,"4",108900000,1.09e+08,"train","X0","blood","99.9.",4,"4",152600000,152700000,"train","X0","blood","99.9.",5,"4",131300000,131400000,"train","X0","blood","99.9.",6,"4",153700000,153800000,"train","X0","blood","99.9.",7,"4",116700000,116800000,"train","X0","blood","99.9.",8,"4",83200000,83300000,"train","X0","blood","99.9.",9,"4",156900000,1.57e+08,"train","X0","blood","99.9.",10,"4",133900000,1.34e+08,"train","X0","blood","99.9.",11,"4",1.02e+08,102100000,"train","X0","blood","99.9.",12,"4",154500000,154600000,"train","X0","blood","99.9.",13,"4",116700000,116800000,"train","X0","blood","99.9.",14,"4",131300000,131400000,"train","X0","blood","99.9.",15,"4",66600000,66700000,"train","X0","blood","99.9.",16,"4",83600000,83700000,"train","X0","blood","99.9.",17,"4",1.45e+08,145100000,"train","X0","blood","99.9.",18,"4",1.32e+08,132100000,"train","X0","blood","99.9.",19,"4",131500000,131600000,"train","X0","blood","99.9.",20,"4",79300000,79400000,"train","X0","blood","99.9.",21,"4",144300000,144400000,"train","X0","blood","99.9.",22,"4",135800000,135900000,"train","X0","blood","99.9.",23,"4",156900000,1.57e+08,"train","X0","blood","99.9.",24,"4",1.44e+08,144100000,"train","X0","blood","99.9.",25,"4",8.6e+07,86100000,"train","X0","blood","99.9.",26,"4",77300000,77400000,"train","X0","blood","99.9.",27,"4",111700000,111800000,"train","X0","blood","99.9.",28,"4",103200000,103300000,"train","X0","blood","99.9.",29,"4",83600000,83700000,"train","X0","blood","99.9.",30
"357","4",1.44e+08,144100000,"train","X0","blood","99.9.",1,"4",76900000,7.7e+07,"train","X0","blood","99.9.",2,"4",131500000,131600000,"train","X0","blood","99.9.",3,"4",116700000,116800000,"train","X0","blood","99.9.",4,"4",153200000,153300000,"train","X0","blood","99.9.",5,"4",135800000,135900000,"train","X0","blood","99.9.",6,"4",153900000,1.54e+08,"train","X0","blood","99.9.",7,"4",131300000,131400000,"train","X0","blood","99.9.",8,"4",8.6e+07,86100000,"train","X0","blood","99.9.",9,"4",157100000,157200000,"train","X0","blood","99.9.",10,"4",135800000,135900000,"train","X0","blood","99.9.",11,"4",103200000,103300000,"train","X0","blood","99.9.",12,"4",156900000,1.57e+08,"train","X0","blood","99.9.",13,"4",119700000,119800000,"train","X0","blood","99.9.",14,"4",1.32e+08,132100000,"train","X0","blood","99.9.",15,"4",67200000,67300000,"train","X0","blood","99.9.",16,"4",92900000,9.3e+07,"train","X0","blood","99.9.",17,"4",1.52e+08,152100000,"train","X0","blood","99.9.",18,"4",133900000,1.34e+08,"train","X0","blood","99.9.",19,"4",133900000,1.34e+08,"train","X0","blood","99.9.",20,"4",83200000,83300000,"train","X0","blood","99.9.",21,"4",149100000,149200000,"train","X0","blood","99.9.",22,"4",138100000,138200000,"train","X0","blood","99.9.",23,"4",157100000,157200000,"train","X0","blood","99.9.",24,"4",1.52e+08,152100000,"train","X0","blood","99.9.",25,"4",92900000,9.3e+07,"train","X0","blood","99.9.",26,"4",79300000,79400000,"train","X0","blood","99.9.",27,"4",119700000,119800000,"train","X0","blood","99.9.",28,"4",108900000,1.09e+08,"train","X0","blood","99.9.",29,"4",8.6e+07,86100000,"train","X0","blood","99.9.",30
"358","4",144300000,144400000,"train","X0","blood","99.9.",1,"4",7.9e+07,79100000,"train","X0","blood","99.9.",2,"4",1.32e+08,132100000,"train","X0","blood","99.9.",3,"4",119700000,119800000,"train","X0","blood","99.9.",4,"4",153700000,153800000,"train","X0","blood","99.9.",5,"4",138100000,138200000,"train","X0","blood","99.9.",6,"4",1.54e+08,154100000,"train","X0","blood","99.9.",7,"4",133900000,1.34e+08,"train","X0","blood","99.9.",8,"4",92900000,9.3e+07,"train","X0","blood","99.9.",9,"4",158500000,158600000,"train","X0","blood","99.9.",10,"4",138100000,138200000,"train","X0","blood","99.9.",11,"4",108900000,1.09e+08,"train","X0","blood","99.9.",12,"4",157100000,157200000,"train","X0","blood","99.9.",13,"4",131300000,131400000,"train","X0","blood","99.9.",14,"4",133900000,1.34e+08,"train","X0","blood","99.9.",15,"4",69800000,69900000,"train","X0","blood","99.9.",16,"4",1.02e+08,102100000,"train","X0","blood","99.9.",17,"4",152300000,152400000,"train","X0","blood","99.9.",18,"4",135800000,135900000,"train","X0","blood","99.9.",19,"4",135800000,135900000,"train","X0","blood","99.9.",20,"4",83600000,83700000,"train","X0","blood","99.9.",21,"4",1.52e+08,152100000,"train","X0","blood","99.9.",22,"4",1.44e+08,144100000,"train","X0","blood","99.9.",23,"4",158500000,158600000,"train","X0","blood","99.9.",24,"4",152300000,152400000,"train","X0","blood","99.9.",25,"4",1.02e+08,102100000,"train","X0","blood","99.9.",26,"4",92900000,9.3e+07,"train","X0","blood","99.9.",27,"4",131500000,131600000,"train","X0","blood","99.9.",28,"4",116700000,116800000,"train","X0","blood","99.9.",29,"4",97700000,97800000,"train","X0","blood","99.9.",30
"359","4",1.45e+08,145100000,"train","X0","blood","99.9.",1,"4",83200000,83300000,"train","X0","blood","99.9.",2,"4",133900000,1.34e+08,"train","X0","blood","99.9.",3,"4",133900000,1.34e+08,"train","X0","blood","99.9.",4,"4",156900000,1.57e+08,"train","X0","blood","99.9.",5,"4",144300000,144400000,"train","X0","blood","99.9.",6,"4",157100000,157200000,"train","X0","blood","99.9.",7,"4",135800000,135900000,"train","X0","blood","99.9.",8,"4",108900000,1.09e+08,"train","X0","blood","99.9.",9,"4",163900000,1.64e+08,"train","X0","blood","99.9.",10,"4",1.44e+08,144100000,"train","X0","blood","99.9.",11,"4",111700000,111800000,"train","X0","blood","99.9.",12,"4",158500000,158600000,"train","X0","blood","99.9.",13,"4",131500000,131600000,"train","X0","blood","99.9.",14,"4",138100000,138200000,"train","X0","blood","99.9.",15,"4",71900000,7.2e+07,"train","X0","blood","99.9.",16,"4",108900000,1.09e+08,"train","X0","blood","99.9.",17,"4",152600000,152700000,"train","X0","blood","99.9.",18,"4",1.44e+08,144100000,"train","X0","blood","99.9.",19,"4",138100000,138200000,"train","X0","blood","99.9.",20,"4",8.6e+07,86100000,"train","X0","blood","99.9.",21,"4",152300000,152400000,"train","X0","blood","99.9.",22,"4",149100000,149200000,"train","X0","blood","99.9.",23,"4",160900000,1.61e+08,"train","X0","blood","99.9.",24,"4",153200000,153300000,"train","X0","blood","99.9.",25,"4",103200000,103300000,"train","X0","blood","99.9.",26,"4",1.02e+08,102100000,"train","X0","blood","99.9.",27,"4",133900000,1.34e+08,"train","X0","blood","99.9.",28,"4",131300000,131400000,"train","X0","blood","99.9.",29,"4",1.02e+08,102100000,"train","X0","blood","99.9.",30
"360","4",149100000,149200000,"train","X0","blood","99.9.",1,"4",83600000,83700000,"train","X0","blood","99.9.",2,"4",138100000,138200000,"train","X0","blood","99.9.",3,"4",135800000,135900000,"train","X0","blood","99.9.",4,"4",157100000,157200000,"train","X0","blood","99.9.",5,"4",1.45e+08,145100000,"train","X0","blood","99.9.",6,"4",158500000,158600000,"train","X0","blood","99.9.",7,"4",138100000,138200000,"train","X0","blood","99.9.",8,"4",116700000,116800000,"train","X0","blood","99.9.",9,"4",164200000,164300000,"train","X0","blood","99.9.",10,"4",144300000,144400000,"train","X0","blood","99.9.",11,"4",116700000,116800000,"train","X0","blood","99.9.",12,"4",160900000,1.61e+08,"train","X0","blood","99.9.",13,"4",1.32e+08,132100000,"train","X0","blood","99.9.",14,"4",1.44e+08,144100000,"train","X0","blood","99.9.",15,"4",77300000,77400000,"train","X0","blood","99.9.",16,"4",111700000,111800000,"train","X0","blood","99.9.",17,"4",153200000,153300000,"train","X0","blood","99.9.",18,"4",144300000,144400000,"train","X0","blood","99.9.",19,"4",1.44e+08,144100000,"train","X0","blood","99.9.",20,"4",92900000,9.3e+07,"train","X0","blood","99.9.",21,"4",153200000,153300000,"train","X0","blood","99.9.",22,"4",152300000,152400000,"train","X0","blood","99.9.",23,"4",164200000,164300000,"train","X0","blood","99.9.",24,"4",153700000,153800000,"train","X0","blood","99.9.",25,"4",108900000,1.09e+08,"train","X0","blood","99.9.",26,"4",108900000,1.09e+08,"train","X0","blood","99.9.",27,"4",138100000,138200000,"train","X0","blood","99.9.",28,"4",131500000,131600000,"train","X0","blood","99.9.",29,"4",103200000,103300000,"train","X0","blood","99.9.",30
"361","4",1.52e+08,152100000,"train","X0","blood","99.9.",1,"4",8.6e+07,86100000,"train","X0","blood","99.9.",2,"4",1.44e+08,144100000,"train","X0","blood","99.9.",3,"4",1.44e+08,144100000,"train","X0","blood","99.9.",4,"4",163900000,1.64e+08,"train","X0","blood","99.9.",5,"4",149100000,149200000,"train","X0","blood","99.9.",6,"4",160900000,1.61e+08,"train","X0","blood","99.9.",7,"4",1.44e+08,144100000,"train","X0","blood","99.9.",8,"4",131300000,131400000,"train","X0","blood","99.9.",9,"4",169200000,169300000,"train","X0","blood","99.9.",10,"4",1.45e+08,145100000,"train","X0","blood","99.9.",11,"4",119700000,119800000,"train","X0","blood","99.9.",12,"4",163900000,1.64e+08,"train","X0","blood","99.9.",13,"4",133900000,1.34e+08,"train","X0","blood","99.9.",14,"4",1.52e+08,152100000,"train","X0","blood","99.9.",15,"4",7.9e+07,79100000,"train","X0","blood","99.9.",16,"4",119700000,119800000,"train","X0","blood","99.9.",17,"4",156900000,1.57e+08,"train","X0","blood","99.9.",18,"4",1.45e+08,145100000,"train","X0","blood","99.9.",19,"4",1.45e+08,145100000,"train","X0","blood","99.9.",20,"4",97700000,97800000,"train","X0","blood","99.9.",21,"4",1.54e+08,154100000,"train","X0","blood","99.9.",22,"4",152600000,152700000,"train","X0","blood","99.9.",23,"4",176200000,176300000,"train","X0","blood","99.9.",24,"4",153900000,1.54e+08,"train","X0","blood","99.9.",25,"4",111700000,111800000,"train","X0","blood","99.9.",26,"4",111700000,111800000,"train","X0","blood","99.9.",27,"4",144300000,144400000,"train","X0","blood","99.9.",28,"4",133900000,1.34e+08,"train","X0","blood","99.9.",29,"4",108900000,1.09e+08,"train","X0","blood","99.9.",30
"362","4",152300000,152400000,"train","X0","blood","99.9.",1,"4",92900000,9.3e+07,"train","X0","blood","99.9.",2,"4",144300000,144400000,"train","X0","blood","99.9.",3,"4",144300000,144400000,"train","X0","blood","99.9.",4,"4",1.64e+08,164100000,"train","X0","blood","99.9.",5,"4",1.52e+08,152100000,"train","X0","blood","99.9.",6,"4",164200000,164300000,"train","X0","blood","99.9.",7,"4",1.52e+08,152100000,"train","X0","blood","99.9.",8,"4",1.32e+08,132100000,"train","X0","blood","99.9.",9,"4",176200000,176300000,"train","X0","blood","99.9.",10,"4",149100000,149200000,"train","X0","blood","99.9.",11,"4",131300000,131400000,"train","X0","blood","99.9.",12,"4",1.64e+08,164100000,"train","X0","blood","99.9.",13,"4",135800000,135900000,"train","X0","blood","99.9.",14,"4",152300000,152400000,"train","X0","blood","99.9.",15,"4",79300000,79400000,"train","X0","blood","99.9.",16,"4",131300000,131400000,"train","X0","blood","99.9.",17,"4",157100000,157200000,"train","X0","blood","99.9.",18,"4",149100000,149200000,"train","X0","blood","99.9.",19,"4",149100000,149200000,"train","X0","blood","99.9.",20,"4",1.02e+08,102100000,"train","X0","blood","99.9.",21,"4",154500000,154600000,"train","X0","blood","99.9.",22,"4",153200000,153300000,"train","X0","blood","99.9.",23,"4",180100000,180200000,"train","X0","blood","99.9.",24,"4",1.54e+08,154100000,"train","X0","blood","99.9.",25,"4",116700000,116800000,"train","X0","blood","99.9.",26,"4",119700000,119800000,"train","X0","blood","99.9.",27,"4",1.45e+08,145100000,"train","X0","blood","99.9.",28,"4",135800000,135900000,"train","X0","blood","99.9.",29,"4",111700000,111800000,"train","X0","blood","99.9.",30
"363","4",152600000,152700000,"train","X0","blood","99.9.",1,"4",97700000,97800000,"train","X0","blood","99.9.",2,"4",149100000,149200000,"train","X0","blood","99.9.",3,"4",1.45e+08,145100000,"train","X0","blood","99.9.",4,"4",164200000,164300000,"train","X0","blood","99.9.",5,"4",152300000,152400000,"train","X0","blood","99.9.",6,"4",169200000,169300000,"train","X0","blood","99.9.",7,"4",152300000,152400000,"train","X0","blood","99.9.",8,"4",133900000,1.34e+08,"train","X0","blood","99.9.",9,"4",1.8e+08,180100000,"train","X0","blood","99.9.",10,"4",152300000,152400000,"train","X0","blood","99.9.",11,"4",131500000,131600000,"train","X0","blood","99.9.",12,"4",164200000,164300000,"train","X0","blood","99.9.",13,"4",138100000,138200000,"train","X0","blood","99.9.",14,"4",152600000,152700000,"train","X0","blood","99.9.",15,"4",83200000,83300000,"train","X0","blood","99.9.",16,"4",131500000,131600000,"train","X0","blood","99.9.",17,"4",158500000,158600000,"train","X0","blood","99.9.",18,"4",152300000,152400000,"train","X0","blood","99.9.",19,"4",1.52e+08,152100000,"train","X0","blood","99.9.",20,"4",103200000,103300000,"train","X0","blood","99.9.",21,"4",156900000,1.57e+08,"train","X0","blood","99.9.",22,"4",153900000,1.54e+08,"train","X0","blood","99.9.",23,"4",181900000,1.82e+08,"train","X0","blood","99.9.",24,"4",154500000,154600000,"train","X0","blood","99.9.",25,"4",119700000,119800000,"train","X0","blood","99.9.",26,"4",131500000,131600000,"train","X0","blood","99.9.",27,"4",149100000,149200000,"train","X0","blood","99.9.",28,"4",138100000,138200000,"train","X0","blood","99.9.",29,"4",116700000,116800000,"train","X0","blood","99.9.",30
"365","4",153700000,153800000,"train","X0","blood","99.9.",1,"4",108900000,1.09e+08,"train","X0","blood","99.9.",2,"4",152300000,152400000,"train","X0","blood","99.9.",3,"4",149100000,149200000,"train","X0","blood","99.9.",4,"4",180100000,180200000,"train","X0","blood","99.9.",5,"4",153200000,153300000,"train","X0","blood","99.9.",6,"4",174400000,174500000,"train","X0","blood","99.9.",7,"4",152600000,152700000,"train","X0","blood","99.9.",8,"4",135800000,135900000,"train","X0","blood","99.9.",9,"4",180100000,180200000,"train","X0","blood","99.9.",10,"4",152600000,152700000,"train","X0","blood","99.9.",11,"4",133900000,1.34e+08,"train","X0","blood","99.9.",12,"4",169200000,169300000,"train","X0","blood","99.9.",13,"4",1.44e+08,144100000,"train","X0","blood","99.9.",14,"4",153200000,153300000,"train","X0","blood","99.9.",15,"4",83600000,83700000,"train","X0","blood","99.9.",16,"4",1.32e+08,132100000,"train","X0","blood","99.9.",17,"4",164200000,164300000,"train","X0","blood","99.9.",18,"4",152600000,152700000,"train","X0","blood","99.9.",19,"4",153700000,153800000,"train","X0","blood","99.9.",20,"4",108900000,1.09e+08,"train","X0","blood","99.9.",21,"4",157100000,157200000,"train","X0","blood","99.9.",22,"4",1.54e+08,154100000,"train","X0","blood","99.9.",23,"4",190600000,190700000,"train","X0","blood","99.9.",24,"4",156900000,1.57e+08,"train","X0","blood","99.9.",25,"4",131300000,131400000,"train","X0","blood","99.9.",26,"4",1.32e+08,132100000,"train","X0","blood","99.9.",27,"4",153700000,153800000,"train","X0","blood","99.9.",28,"4",144300000,144400000,"train","X0","blood","99.9.",29,"4",119700000,119800000,"train","X0","blood","99.9.",30
"367","4",1.54e+08,154100000,"train","X0","blood","99.9.",1,"4",111700000,111800000,"train","X0","blood","99.9.",2,"4",152600000,152700000,"train","X0","blood","99.9.",3,"4",152300000,152400000,"train","X0","blood","99.9.",4,"4",181600000,181700000,"train","X0","blood","99.9.",5,"4",153900000,1.54e+08,"train","X0","blood","99.9.",6,"4",176200000,176300000,"train","X0","blood","99.9.",7,"4",153200000,153300000,"train","X0","blood","99.9.",8,"4",138100000,138200000,"train","X0","blood","99.9.",9,"4",181600000,181700000,"train","X0","blood","99.9.",10,"4",153200000,153300000,"train","X0","blood","99.9.",11,"4",138100000,138200000,"train","X0","blood","99.9.",12,"4",174400000,174500000,"train","X0","blood","99.9.",13,"4",1.45e+08,145100000,"train","X0","blood","99.9.",14,"4",153700000,153800000,"train","X0","blood","99.9.",15,"4",92900000,9.3e+07,"train","X0","blood","99.9.",16,"4",133900000,1.34e+08,"train","X0","blood","99.9.",17,"4",176200000,176300000,"train","X0","blood","99.9.",18,"4",153200000,153300000,"train","X0","blood","99.9.",19,"4",153900000,1.54e+08,"train","X0","blood","99.9.",20,"4",111700000,111800000,"train","X0","blood","99.9.",21,"4",158500000,158600000,"train","X0","blood","99.9.",22,"4",154500000,154600000,"train","X0","blood","99.9.",23,"5",1e+05,2e+05,"train","X0","blood","99.9.",24,"4",157100000,157200000,"train","X0","blood","99.9.",25,"4",131500000,131600000,"train","X0","blood","99.9.",26,"4",133900000,1.34e+08,"train","X0","blood","99.9.",27,"4",153900000,1.54e+08,"train","X0","blood","99.9.",28,"4",149100000,149200000,"train","X0","blood","99.9.",29,"4",131300000,131400000,"train","X0","blood","99.9.",30
"368","4",154500000,154600000,"train","X0","blood","99.9.",1,"4",116700000,116800000,"train","X0","blood","99.9.",2,"4",153200000,153300000,"train","X0","blood","99.9.",3,"4",153200000,153300000,"train","X0","blood","99.9.",4,"4",181700000,181800000,"train","X0","blood","99.9.",5,"4",1.54e+08,154100000,"train","X0","blood","99.9.",6,"4",180100000,180200000,"train","X0","blood","99.9.",7,"4",153700000,153800000,"train","X0","blood","99.9.",8,"4",1.44e+08,144100000,"train","X0","blood","99.9.",9,"4",181900000,1.82e+08,"train","X0","blood","99.9.",10,"4",153700000,153800000,"train","X0","blood","99.9.",11,"4",1.44e+08,144100000,"train","X0","blood","99.9.",12,"4",176200000,176300000,"train","X0","blood","99.9.",13,"4",149100000,149200000,"train","X0","blood","99.9.",14,"4",154500000,154600000,"train","X0","blood","99.9.",15,"4",97700000,97800000,"train","X0","blood","99.9.",16,"4",135800000,135900000,"train","X0","blood","99.9.",17,"4",180100000,180200000,"train","X0","blood","99.9.",18,"4",153900000,1.54e+08,"train","X0","blood","99.9.",19,"4",1.54e+08,154100000,"train","X0","blood","99.9.",20,"4",119700000,119800000,"train","X0","blood","99.9.",21,"4",160900000,1.61e+08,"train","X0","blood","99.9.",22,"4",156900000,1.57e+08,"train","X0","blood","99.9.",23,"5",24200000,24300000,"train","X0","blood","99.9.",24,"4",158500000,158600000,"train","X0","blood","99.9.",25,"4",133900000,1.34e+08,"train","X0","blood","99.9.",26,"4",135800000,135900000,"train","X0","blood","99.9.",27,"4",154500000,154600000,"train","X0","blood","99.9.",28,"4",153700000,153800000,"train","X0","blood","99.9.",29,"4",131500000,131600000,"train","X0","blood","99.9.",30
"369","4",156900000,1.57e+08,"train","X0","blood","99.9.",1,"4",119700000,119800000,"train","X0","blood","99.9.",2,"4",153900000,1.54e+08,"train","X0","blood","99.9.",3,"4",153700000,153800000,"train","X0","blood","99.9.",4,"4",190600000,190700000,"train","X0","blood","99.9.",5,"4",154500000,154600000,"train","X0","blood","99.9.",6,"4",181600000,181700000,"train","X0","blood","99.9.",7,"4",153900000,1.54e+08,"train","X0","blood","99.9.",8,"4",144300000,144400000,"train","X0","blood","99.9.",9,"4",183500000,183600000,"train","X0","blood","99.9.",10,"4",153900000,1.54e+08,"train","X0","blood","99.9.",11,"4",144300000,144400000,"train","X0","blood","99.9.",12,"4",180100000,180200000,"train","X0","blood","99.9.",13,"4",1.52e+08,152100000,"train","X0","blood","99.9.",14,"4",156900000,1.57e+08,"train","X0","blood","99.9.",15,"4",1.02e+08,102100000,"train","X0","blood","99.9.",16,"4",1.44e+08,144100000,"train","X0","blood","99.9.",17,"4",181600000,181700000,"train","X0","blood","99.9.",18,"4",1.54e+08,154100000,"train","X0","blood","99.9.",19,"4",154500000,154600000,"train","X0","blood","99.9.",20,"4",131500000,131600000,"train","X0","blood","99.9.",21,"4",163900000,1.64e+08,"train","X0","blood","99.9.",22,"4",157100000,157200000,"train","X0","blood","99.9.",23,"5",25700000,25800000,"train","X0","blood","99.9.",24,"4",160900000,1.61e+08,"train","X0","blood","99.9.",25,"4",149100000,149200000,"train","X0","blood","99.9.",26,"4",138100000,138200000,"train","X0","blood","99.9.",27,"4",156900000,1.57e+08,"train","X0","blood","99.9.",28,"4",153900000,1.54e+08,"train","X0","blood","99.9.",29,"4",1.32e+08,132100000,"train","X0","blood","99.9.",30
"371","4",158500000,158600000,"train","X0","blood","99.9.",1,"4",131500000,131600000,"train","X0","blood","99.9.",2,"4",154500000,154600000,"train","X0","blood","99.9.",3,"4",153900000,1.54e+08,"train","X0","blood","99.9.",4,"5",3200000,3300000,"train","X0","blood","99.9.",5,"4",156900000,1.57e+08,"train","X0","blood","99.9.",6,"4",181700000,181800000,"train","X0","blood","99.9.",7,"4",1.54e+08,154100000,"train","X0","blood","99.9.",8,"4",149100000,149200000,"train","X0","blood","99.9.",9,"4",190600000,190700000,"train","X0","blood","99.9.",10,"4",1.54e+08,154100000,"train","X0","blood","99.9.",11,"4",1.45e+08,145100000,"train","X0","blood","99.9.",12,"4",181700000,181800000,"train","X0","blood","99.9.",13,"4",152300000,152400000,"train","X0","blood","99.9.",14,"4",157100000,157200000,"train","X0","blood","99.9.",15,"4",111700000,111800000,"train","X0","blood","99.9.",16,"4",144300000,144400000,"train","X0","blood","99.9.",17,"4",181700000,181800000,"train","X0","blood","99.9.",18,"4",156900000,1.57e+08,"train","X0","blood","99.9.",19,"4",156900000,1.57e+08,"train","X0","blood","99.9.",20,"4",1.32e+08,132100000,"train","X0","blood","99.9.",21,"4",1.64e+08,164100000,"train","X0","blood","99.9.",22,"4",158500000,158600000,"train","X0","blood","99.9.",23,"5",26700000,26800000,"train","X0","blood","99.9.",24,"4",163900000,1.64e+08,"train","X0","blood","99.9.",25,"4",152600000,152700000,"train","X0","blood","99.9.",26,"4",1.44e+08,144100000,"train","X0","blood","99.9.",27,"4",157100000,157200000,"train","X0","blood","99.9.",28,"4",154500000,154600000,"train","X0","blood","99.9.",29,"4",133900000,1.34e+08,"train","X0","blood","99.9.",30
"375","4",164200000,164300000,"train","X0","blood","99.9.",1,"4",1.32e+08,132100000,"train","X0","blood","99.9.",2,"4",157100000,157200000,"train","X0","blood","99.9.",3,"4",154500000,154600000,"train","X0","blood","99.9.",4,"5",4e+06,4100000,"train","X0","blood","99.9.",5,"4",157100000,157200000,"train","X0","blood","99.9.",6,"4",181900000,1.82e+08,"train","X0","blood","99.9.",7,"4",156900000,1.57e+08,"train","X0","blood","99.9.",8,"4",1.52e+08,152100000,"train","X0","blood","99.9.",9,"5",1e+05,2e+05,"train","X0","blood","99.9.",10,"4",156900000,1.57e+08,"train","X0","blood","99.9.",11,"4",149100000,149200000,"train","X0","blood","99.9.",12,"4",181900000,1.82e+08,"train","X0","blood","99.9.",13,"4",153200000,153300000,"train","X0","blood","99.9.",14,"4",158500000,158600000,"train","X0","blood","99.9.",15,"4",116700000,116800000,"train","X0","blood","99.9.",16,"4",1.45e+08,145100000,"train","X0","blood","99.9.",17,"4",181900000,1.82e+08,"train","X0","blood","99.9.",18,"4",157100000,157200000,"train","X0","blood","99.9.",19,"4",157100000,157200000,"train","X0","blood","99.9.",20,"4",135800000,135900000,"train","X0","blood","99.9.",21,"4",164200000,164300000,"train","X0","blood","99.9.",22,"4",160900000,1.61e+08,"train","X0","blood","99.9.",23,"5",44900000,4.5e+07,"train","X0","blood","99.9.",24,"4",1.64e+08,164100000,"train","X0","blood","99.9.",25,"4",153200000,153300000,"train","X0","blood","99.9.",26,"4",149100000,149200000,"train","X0","blood","99.9.",27,"4",160900000,1.61e+08,"train","X0","blood","99.9.",28,"4",157100000,157200000,"train","X0","blood","99.9.",29,"4",135800000,135900000,"train","X0","blood","99.9.",30
