"","chr","from","to","data_type","target","cancer_type","labeling_type","repeat"
"206","6",29900000,3e+07,"train","X0","brain","99.9.",1
"208","6",64300000,64400000,"train","X0","brain","99.9.",1
"209","6",105400000,105500000,"train","X0","brain","99.9.",1
"212","6",152700000,152800000,"train","X0","brain","99.9.",1
"213","6",152900000,1.53e+08,"train","X0","brain","99.9.",1
"215","6",161200000,161300000,"train","X0","brain","99.9.",1
"216","6",163900000,1.64e+08,"train","X0","brain","99.9.",1
"218","7",1100000,1200000,"train","X0","brain","99.9.",1
"219","7",2100000,2200000,"train","X0","brain","99.9.",1
"220","7",6500000,6600000,"train","X0","brain","99.9.",1
"221","7",7800000,7900000,"train","X0","brain","99.9.",1
"222","7",8100000,8200000,"train","X0","brain","99.9.",1
"223","7",1.5e+07,15100000,"train","X0","brain","99.9.",1
"225","7",18200000,18300000,"train","X0","brain","99.9.",1
"232","7",64700000,64800000,"train","X0","brain","99.9.",1
"233","7",66400000,66500000,"train","X0","brain","99.9.",1
"235","7",90400000,90500000,"train","X0","brain","99.9.",1
"236","7",90500000,90600000,"train","X0","brain","99.9.",1
"237","7",90600000,90700000,"train","X0","brain","99.9.",1
"238","7",90700000,90800000,"train","X0","brain","99.9.",1
"239","7",90900000,9.1e+07,"train","X0","brain","99.9.",1
"241","7",91300000,91400000,"train","X0","brain","99.9.",1
"243","7",91500000,91600000,"train","X0","brain","99.9.",1
"244","7",91600000,91700000,"train","X0","brain","99.9.",1
"245","7",91700000,91800000,"train","X0","brain","99.9.",1
"246","7",91800000,91900000,"train","X0","brain","99.9.",1
"248","7",92100000,92200000,"train","X0","brain","99.9.",1
"250","7",92300000,92400000,"train","X0","brain","99.9.",1
"251","7",92400000,92500000,"train","X0","brain","99.9.",1
"253","7",92800000,92900000,"train","X0","brain","99.9.",1
"255","7",105700000,105800000,"train","X0","brain","99.9.",1
"258","7",1.06e+08,106100000,"train","X0","brain","99.9.",1
"259","7",106100000,106200000,"train","X0","brain","99.9.",1
"261","7",106700000,106800000,"train","X0","brain","99.9.",1
"262","7",121200000,121300000,"train","X0","brain","99.9.",1
"263","7",129200000,129300000,"train","X0","brain","99.9.",1
"264","7",129600000,129700000,"train","X0","brain","99.9.",1
"265","7",132300000,132400000,"train","X0","brain","99.9.",1
"269","7",140500000,140600000,"train","X0","brain","99.9.",1
"270","7",1.43e+08,143100000,"train","X0","brain","99.9.",1
"271","7",149200000,149300000,"train","X0","brain","99.9.",1
"272","7",149300000,149400000,"train","X0","brain","99.9.",1
"273","7",157900000,1.58e+08,"train","X0","brain","99.9.",1
"275","8",1100000,1200000,"train","X0","brain","99.9.",1
"276","8",1800000,1900000,"train","X0","brain","99.9.",1
"278","8",3800000,3900000,"train","X0","brain","99.9.",1
"282","8",11900000,1.2e+07,"train","X0","brain","99.9.",1
"283","8",15700000,15800000,"train","X0","brain","99.9.",1
"284","8",16500000,16600000,"train","X0","brain","99.9.",1
"285","8",1.7e+07,17100000,"train","X0","brain","99.9.",1
"286","8",17100000,17200000,"train","X0","brain","99.9.",1
"287","8",2.8e+07,28100000,"train","X0","brain","99.9.",1
"289","8",35100000,35200000,"train","X0","brain","99.9.",1
"290","8",35200000,35300000,"train","X0","brain","99.9.",1
"291","8",38200000,38300000,"train","X0","brain","99.9.",1
"292","8",42600000,42700000,"train","X0","brain","99.9.",1
"294","8",54300000,54400000,"train","X0","brain","99.9.",1
"295","8",66400000,66500000,"train","X0","brain","99.9.",1
"296","8",66500000,66600000,"train","X0","brain","99.9.",1
"297","8",6.8e+07,68100000,"train","X0","brain","99.9.",1
"298","8",75700000,75800000,"train","X0","brain","99.9.",1
"299","8",1.43e+08,143100000,"train","X0","brain","99.9.",1
"300","9",9e+06,9100000,"train","X0","brain","99.9.",1
"301","9",14200000,14300000,"train","X0","brain","99.9.",1
"304","9",85100000,85200000,"train","X0","brain","99.9.",1
"305","9",87300000,87400000,"train","X0","brain","99.9.",1
"306","9",87400000,87500000,"train","X0","brain","99.9.",1
"307","9",93600000,93700000,"train","X0","brain","99.9.",1
"308","9",99300000,99400000,"train","X0","brain","99.9.",1
"309","9",99600000,99700000,"train","X0","brain","99.9.",1
"310","9",112200000,112300000,"train","X0","brain","99.9.",1
"312","9",134200000,134300000,"train","X0","brain","99.9.",1
"313","9",138900000,1.39e+08,"train","X0","brain","99.9.",1
"314","9",139900000,1.4e+08,"train","X0","brain","99.9.",1
"317","10",1.3e+07,13100000,"train","X0","brain","99.9.",1
"321","10",49900000,5e+07,"train","X0","brain","99.9.",1
"322","10",50200000,50300000,"train","X0","brain","99.9.",1
"323","10",62500000,62600000,"train","X0","brain","99.9.",1
"326","11",5600000,5700000,"train","X0","brain","99.9.",1
"327","11",23100000,23200000,"train","X0","brain","99.9.",1
"328","11",24500000,24600000,"train","X0","brain","99.9.",1
"330","11",38600000,38700000,"train","X0","brain","99.9.",1
"331","11",38800000,38900000,"train","X0","brain","99.9.",1
"332","11",41300000,41400000,"train","X0","brain","99.9.",1
"333","11",41500000,41600000,"train","X0","brain","99.9.",1
"336","11",6.9e+07,69100000,"train","X0","brain","99.9.",1
"337","11",69100000,69200000,"train","X0","brain","99.9.",1
"340","11",134700000,134800000,"train","X0","brain","99.9.",1
"341","12",6e+05,7e+05,"train","X0","brain","99.9.",1
"342","12",2300000,2400000,"train","X0","brain","99.9.",1
"343","12",2800000,2900000,"train","X0","brain","99.9.",1
"345","12",4500000,4600000,"train","X0","brain","99.9.",1
"346","12",5300000,5400000,"train","X0","brain","99.9.",1
"347","12",6e+06,6100000,"train","X0","brain","99.9.",1
"350","12",1.1e+07,11100000,"train","X0","brain","99.9.",1
"351","12",11100000,11200000,"train","X0","brain","99.9.",1
"352","12",11200000,11300000,"train","X0","brain","99.9.",1
"353","12",11900000,1.2e+07,"train","X0","brain","99.9.",1
"356","12",19800000,19900000,"train","X0","brain","99.9.",1
"357","12",19900000,2e+07,"train","X0","brain","99.9.",1
"361","12",2.1e+07,21100000,"train","X0","brain","99.9.",1
"362","12",22200000,22300000,"train","X0","brain","99.9.",1
"363","12",22400000,22500000,"train","X0","brain","99.9.",1
"364","12",22700000,22800000,"train","X0","brain","99.9.",1
"365","12",23100000,23200000,"train","X0","brain","99.9.",1
"366","12",23300000,23400000,"train","X0","brain","99.9.",1
"368","12",29100000,29200000,"train","X0","brain","99.9.",1
"373","12",32400000,32500000,"train","X0","brain","99.9.",1
"374","12",33500000,33600000,"train","X0","brain","99.9.",1
"375","12",33800000,33900000,"train","X0","brain","99.9.",1
"376","12",107700000,107800000,"train","X0","brain","99.9.",1
"377","12",130800000,130900000,"train","X0","brain","99.9.",1
"378","12",131500000,131600000,"train","X0","brain","99.9.",1
"380","13",29900000,3e+07,"train","X0","brain","99.9.",1
"382","13",79300000,79400000,"train","X0","brain","99.9.",1
"383","13",108500000,108600000,"train","X0","brain","99.9.",1
"384","13",112900000,1.13e+08,"train","X0","brain","99.9.",1
"386","13",1.14e+08,114100000,"train","X0","brain","99.9.",1
"387","13",114300000,114400000,"train","X0","brain","99.9.",1
"388","13",114400000,114500000,"train","X0","brain","99.9.",1
"389","13",114900000,1.15e+08,"train","X0","brain","99.9.",1
"390","14",19200000,19300000,"train","X0","brain","99.9.",1
"392","14",20600000,20700000,"train","X0","brain","99.9.",1
"393","14",20900000,2.1e+07,"train","X0","brain","99.9.",1
"394","14",22800000,22900000,"train","X0","brain","99.9.",1
"396","14",30600000,30700000,"train","X0","brain","99.9.",1
"399","14",80200000,80300000,"train","X0","brain","99.9.",1
"400","14",80300000,80400000,"train","X0","brain","99.9.",1
"401","14",88200000,88300000,"train","X0","brain","99.9.",1
"405","14",107100000,107200000,"train","X0","brain","99.9.",1
"406","15",22500000,22600000,"train","X0","brain","99.9.",1
"407","15",23200000,23300000,"train","X0","brain","99.9.",1
"411","15",25900000,2.6e+07,"train","X0","brain","99.9.",1
"412","15",2.6e+07,26100000,"train","X0","brain","99.9.",1
"413","15",26100000,26200000,"train","X0","brain","99.9.",1
"414","15",26600000,26700000,"train","X0","brain","99.9.",1
"415","15",26900000,2.7e+07,"train","X0","brain","99.9.",1
"416","15",27100000,27200000,"train","X0","brain","99.9.",1
"417","15",27400000,27500000,"train","X0","brain","99.9.",1
"419","15",27600000,27700000,"train","X0","brain","99.9.",1
"422","15",2.8e+07,28100000,"train","X0","brain","99.9.",1
"423","15",28200000,28300000,"train","X0","brain","99.9.",1
"426","15",29500000,29600000,"train","X0","brain","99.9.",1
"427","15",29900000,3e+07,"train","X0","brain","99.9.",1
"428","15",30300000,30400000,"train","X0","brain","99.9.",1
"429","15",30900000,3.1e+07,"train","X0","brain","99.9.",1
"430","15",31900000,3.2e+07,"train","X0","brain","99.9.",1
"431","15",32100000,32200000,"train","X0","brain","99.9.",1
"432","15",33100000,33200000,"train","X0","brain","99.9.",1
"433","15",33800000,33900000,"train","X0","brain","99.9.",1
"434","15",33900000,3.4e+07,"train","X0","brain","99.9.",1
"436","15",34100000,34200000,"train","X0","brain","99.9.",1
"437","15",34400000,34500000,"train","X0","brain","99.9.",1
"442","15",35700000,35800000,"train","X0","brain","99.9.",1
"443","15",35800000,35900000,"train","X0","brain","99.9.",1
"444","15",35900000,3.6e+07,"train","X0","brain","99.9.",1
"445","15",3.6e+07,36100000,"train","X0","brain","99.9.",1
"446","15",36100000,36200000,"train","X0","brain","99.9.",1
"448","15",36500000,36600000,"train","X0","brain","99.9.",1
"449","15",36600000,36700000,"train","X0","brain","99.9.",1
"450","15",36800000,36900000,"train","X0","brain","99.9.",1
"451","15",3.7e+07,37100000,"train","X0","brain","99.9.",1
"453","15",37400000,37500000,"train","X0","brain","99.9.",1
"454","15",37800000,37900000,"train","X0","brain","99.9.",1
"455","15",3.8e+07,38100000,"train","X0","brain","99.9.",1
"456","15",38100000,38200000,"train","X0","brain","99.9.",1
"457","15",38300000,38400000,"train","X0","brain","99.9.",1
"458","15",38600000,38700000,"train","X0","brain","99.9.",1
"459","15",38800000,38900000,"train","X0","brain","99.9.",1
"460","15",38900000,3.9e+07,"train","X0","brain","99.9.",1
"461","15",39100000,39200000,"train","X0","brain","99.9.",1
"462","15",39200000,39300000,"train","X0","brain","99.9.",1
"464","15",39600000,39700000,"train","X0","brain","99.9.",1
"465","15",39800000,39900000,"train","X0","brain","99.9.",1
"466","15",40600000,40700000,"train","X0","brain","99.9.",1
"467","15",40700000,40800000,"train","X0","brain","99.9.",1
"469","15",4.1e+07,41100000,"train","X0","brain","99.9.",1
"470","15",41300000,41400000,"train","X0","brain","99.9.",1
"471","15",41400000,41500000,"train","X0","brain","99.9.",1
"472","15",41600000,41700000,"train","X0","brain","99.9.",1
"473","15",42400000,42500000,"train","X0","brain","99.9.",1
"474","15",42900000,4.3e+07,"train","X0","brain","99.9.",1
"475","15",4.3e+07,43100000,"train","X0","brain","99.9.",1
"476","15",43200000,43300000,"train","X0","brain","99.9.",1
"477","15",43300000,43400000,"train","X0","brain","99.9.",1
"478","15",44200000,44300000,"train","X0","brain","99.9.",1
"479","15",44300000,44400000,"train","X0","brain","99.9.",1
"480","15",44500000,44600000,"train","X0","brain","99.9.",1
"481","15",44700000,44800000,"train","X0","brain","99.9.",1
"483","15",45200000,45300000,"train","X0","brain","99.9.",1
"485","15",45500000,45600000,"train","X0","brain","99.9.",1
"486","15",45600000,45700000,"train","X0","brain","99.9.",1
"487","15",45900000,4.6e+07,"train","X0","brain","99.9.",1
"489","15",46200000,46300000,"train","X0","brain","99.9.",1
"491","15",47200000,47300000,"train","X0","brain","99.9.",1
"492","15",47500000,47600000,"train","X0","brain","99.9.",1
"493","15",47600000,47700000,"train","X0","brain","99.9.",1
"494","15",47700000,47800000,"train","X0","brain","99.9.",1
"496","15",48200000,48300000,"train","X0","brain","99.9.",1
"497","15",48500000,48600000,"train","X0","brain","99.9.",1
"499","15",49600000,49700000,"train","X0","brain","99.9.",1
"501","15",50100000,50200000,"train","X0","brain","99.9.",1
"502","15",50300000,50400000,"train","X0","brain","99.9.",1
"503","15",50700000,50800000,"train","X0","brain","99.9.",1
"506","15",5.1e+07,51100000,"train","X0","brain","99.9.",1
"507","15",51100000,51200000,"train","X0","brain","99.9.",1
"508","15",51300000,51400000,"train","X0","brain","99.9.",1
"509","15",51400000,51500000,"train","X0","brain","99.9.",1
"510","15",51700000,51800000,"train","X0","brain","99.9.",1
"511","15",52300000,52400000,"train","X0","brain","99.9.",1
"513","15",52800000,52900000,"train","X0","brain","99.9.",1
"515","15",53600000,53700000,"train","X0","brain","99.9.",1
"517","15",54200000,54300000,"train","X0","brain","99.9.",1
"518","15",54400000,54500000,"train","X0","brain","99.9.",1
"519","15",5.5e+07,55100000,"train","X0","brain","99.9.",1
"520","15",55100000,55200000,"train","X0","brain","99.9.",1
"521","15",55200000,55300000,"train","X0","brain","99.9.",1
"522","15",55500000,55600000,"train","X0","brain","99.9.",1
"523","15",55800000,55900000,"train","X0","brain","99.9.",1
"525","15",56400000,56500000,"train","X0","brain","99.9.",1
"527","15",56600000,56700000,"train","X0","brain","99.9.",1
"528","15",56700000,56800000,"train","X0","brain","99.9.",1
"529","15",57100000,57200000,"train","X0","brain","99.9.",1
"530","15",57500000,57600000,"train","X0","brain","99.9.",1
"532","15",58300000,58400000,"train","X0","brain","99.9.",1
"533","15",58500000,58600000,"train","X0","brain","99.9.",1
"534","15",58600000,58700000,"train","X0","brain","99.9.",1
"535","15",58700000,58800000,"train","X0","brain","99.9.",1
"541","15",59800000,59900000,"train","X0","brain","99.9.",1
"543","15",60200000,60300000,"train","X0","brain","99.9.",1
"544","15",60300000,60400000,"train","X0","brain","99.9.",1
"545","15",60400000,60500000,"train","X0","brain","99.9.",1
"546","15",60500000,60600000,"train","X0","brain","99.9.",1
"547","15",60800000,60900000,"train","X0","brain","99.9.",1
"548","15",61300000,61400000,"train","X0","brain","99.9.",1
"550","15",61600000,61700000,"train","X0","brain","99.9.",1
"551","15",61700000,61800000,"train","X0","brain","99.9.",1
"552","15",61800000,61900000,"train","X0","brain","99.9.",1
"553","15",62400000,62500000,"train","X0","brain","99.9.",1
"554","15",62700000,62800000,"train","X0","brain","99.9.",1
"555","15",62800000,62900000,"train","X0","brain","99.9.",1
"557","15",63100000,63200000,"train","X0","brain","99.9.",1
"558","15",63200000,63300000,"train","X0","brain","99.9.",1
"559","15",63300000,63400000,"train","X0","brain","99.9.",1
"561","15",63500000,63600000,"train","X0","brain","99.9.",1
"562","15",63700000,63800000,"train","X0","brain","99.9.",1
"563","15",63900000,6.4e+07,"train","X0","brain","99.9.",1
"564","15",6.4e+07,64100000,"train","X0","brain","99.9.",1
"565","15",64400000,64500000,"train","X0","brain","99.9.",1
"566","15",64700000,64800000,"train","X0","brain","99.9.",1
"568","15",6.5e+07,65100000,"train","X0","brain","99.9.",1
"569","15",65400000,65500000,"train","X0","brain","99.9.",1
"571","15",6.6e+07,66100000,"train","X0","brain","99.9.",1
"572","15",66200000,66300000,"train","X0","brain","99.9.",1
"574","15",66400000,66500000,"train","X0","brain","99.9.",1
"575","15",66600000,66700000,"train","X0","brain","99.9.",1
"576","15",66700000,66800000,"train","X0","brain","99.9.",1
"577","15",66800000,66900000,"train","X0","brain","99.9.",1
"581","15",67300000,67400000,"train","X0","brain","99.9.",1
"582","15",68300000,68400000,"train","X0","brain","99.9.",1
"584","15",68900000,6.9e+07,"train","X0","brain","99.9.",1
"585","15",6.9e+07,69100000,"train","X0","brain","99.9.",1
"586","15",69100000,69200000,"train","X0","brain","99.9.",1
"587","15",69400000,69500000,"train","X0","brain","99.9.",1
"589","15",69900000,7e+07,"train","X0","brain","99.9.",1
"590","15",7e+07,70100000,"train","X0","brain","99.9.",1
"591","15",70100000,70200000,"train","X0","brain","99.9.",1
"594","15",70900000,7.1e+07,"train","X0","brain","99.9.",1
"595","15",71100000,71200000,"train","X0","brain","99.9.",1
"596","15",71300000,71400000,"train","X0","brain","99.9.",1
"597","15",72200000,72300000,"train","X0","brain","99.9.",1
"598","15",72700000,72800000,"train","X0","brain","99.9.",1
"599","15",7.3e+07,73100000,"train","X0","brain","99.9.",1
"600","15",73100000,73200000,"train","X0","brain","99.9.",1
"604","15",75100000,75200000,"train","X0","brain","99.9.",1
"606","15",75400000,75500000,"train","X0","brain","99.9.",1
"609","15",76600000,76700000,"train","X0","brain","99.9.",1
"610","15",76900000,7.7e+07,"train","X0","brain","99.9.",1
"611","15",77200000,77300000,"train","X0","brain","99.9.",1
"612","15",77800000,77900000,"train","X0","brain","99.9.",1
"613","15",77900000,7.8e+07,"train","X0","brain","99.9.",1
"615","15",78400000,78500000,"train","X0","brain","99.9.",1
"616","15",78500000,78600000,"train","X0","brain","99.9.",1
"617","15",79200000,79300000,"train","X0","brain","99.9.",1
"619","15",79400000,79500000,"train","X0","brain","99.9.",1
"620","15",79500000,79600000,"train","X0","brain","99.9.",1
"621","15",79800000,79900000,"train","X0","brain","99.9.",1
"622","15",79900000,8e+07,"train","X0","brain","99.9.",1
"623","15",80100000,80200000,"train","X0","brain","99.9.",1
"624","15",80600000,80700000,"train","X0","brain","99.9.",1
"625","15",81200000,81300000,"train","X0","brain","99.9.",1
"626","15",82300000,82400000,"train","X0","brain","99.9.",1
"628","15",8.4e+07,84100000,"train","X0","brain","99.9.",1
"629","15",84300000,84400000,"train","X0","brain","99.9.",1
"630","15",84500000,84600000,"train","X0","brain","99.9.",1
"631","15",84900000,8.5e+07,"train","X0","brain","99.9.",1
"634","15",85400000,85500000,"train","X0","brain","99.9.",1
"635","15",85500000,85600000,"train","X0","brain","99.9.",1
"636","15",85600000,85700000,"train","X0","brain","99.9.",1
"637","15",85700000,85800000,"train","X0","brain","99.9.",1
"639","15",86300000,86400000,"train","X0","brain","99.9.",1
"640","15",86800000,86900000,"train","X0","brain","99.9.",1
"643","15",87600000,87700000,"train","X0","brain","99.9.",1
"644","15",87800000,87900000,"train","X0","brain","99.9.",1
"645","15",87900000,8.8e+07,"train","X0","brain","99.9.",1
"646","15",88700000,88800000,"train","X0","brain","99.9.",1
"649","15",89400000,89500000,"train","X0","brain","99.9.",1
"650","15",89700000,89800000,"train","X0","brain","99.9.",1
"651","15",90700000,90800000,"train","X0","brain","99.9.",1
"652","15",90900000,9.1e+07,"train","X0","brain","99.9.",1
"653","15",91100000,91200000,"train","X0","brain","99.9.",1
"658","15",92200000,92300000,"train","X0","brain","99.9.",1
"659","15",92500000,92600000,"train","X0","brain","99.9.",1
"662","15",93100000,93200000,"train","X0","brain","99.9.",1
"663","15",93500000,93600000,"train","X0","brain","99.9.",1
"664","15",93600000,93700000,"train","X0","brain","99.9.",1
"665","15",93800000,93900000,"train","X0","brain","99.9.",1
"666","15",94300000,94400000,"train","X0","brain","99.9.",1
"667","15",94400000,94500000,"train","X0","brain","99.9.",1
"668","15",94500000,94600000,"train","X0","brain","99.9.",1
"669","15",94600000,94700000,"train","X0","brain","99.9.",1
"670","15",9.5e+07,95100000,"train","X0","brain","99.9.",1
"671","15",95400000,95500000,"train","X0","brain","99.9.",1
"672","15",95500000,95600000,"train","X0","brain","99.9.",1
"673","15",95900000,9.6e+07,"train","X0","brain","99.9.",1
"674","15",9.6e+07,96100000,"train","X0","brain","99.9.",1
"676","15",96200000,96300000,"train","X0","brain","99.9.",1
"678","15",96600000,96700000,"train","X0","brain","99.9.",1
"679","15",96900000,9.7e+07,"train","X0","brain","99.9.",1
"681","15",9.8e+07,98100000,"train","X0","brain","99.9.",1
"682","15",98800000,98900000,"train","X0","brain","99.9.",1
"684","15",100100000,100200000,"train","X0","brain","99.9.",1
"686","15",100700000,100800000,"train","X0","brain","99.9.",1
