"","chr","from","to","data_type","target","cancer_type","labeling_type","repeat.","chr.1","from.1","to.1","data_type.1","target.1","cancer_type.1","labeling_type.1","repeat..1","chr.2","from.2","to.2","data_type.2","target.2","cancer_type.2","labeling_type.2","repeat..2","chr.3","from.3","to.3","data_type.3","target.3","cancer_type.3","labeling_type.3","repeat..3","chr.4","from.4","to.4","data_type.4","target.4","cancer_type.4","labeling_type.4","repeat..4","chr.5","from.5","to.5","data_type.5","target.5","cancer_type.5","labeling_type.5","repeat..5","chr.6","from.6","to.6","data_type.6","target.6","cancer_type.6","labeling_type.6","repeat..6","chr.7","from.7","to.7","data_type.7","target.7","cancer_type.7","labeling_type.7","repeat..7","chr.8","from.8","to.8","data_type.8","target.8","cancer_type.8","labeling_type.8","repeat..8","chr.9","from.9","to.9","data_type.9","target.9","cancer_type.9","labeling_type.9","repeat..9","chr.10","from.10","to.10","data_type.10","target.10","cancer_type.10","labeling_type.10","repeat..10","chr.11","from.11","to.11","data_type.11","target.11","cancer_type.11","labeling_type.11","repeat..11","chr.12","from.12","to.12","data_type.12","target.12","cancer_type.12","labeling_type.12","repeat..12","chr.13","from.13","to.13","data_type.13","target.13","cancer_type.13","labeling_type.13","repeat..13","chr.14","from.14","to.14","data_type.14","target.14","cancer_type.14","labeling_type.14","repeat..14","chr.15","from.15","to.15","data_type.15","target.15","cancer_type.15","labeling_type.15","repeat..15","chr.16","from.16","to.16","data_type.16","target.16","cancer_type.16","labeling_type.16","repeat..16","chr.17","from.17","to.17","data_type.17","target.17","cancer_type.17","labeling_type.17","repeat..17","chr.18","from.18","to.18","data_type.18","target.18","cancer_type.18","labeling_type.18","repeat..18","chr.19","from.19","to.19","data_type.19","target.19","cancer_type.19","labeling_type.19","repeat..19","chr.20","from.20","to.20","data_type.20","target.20","cancer_type.20","labeling_type.20","repeat..20","chr.21","from.21","to.21","data_type.21","target.21","cancer_type.21","labeling_type.21","repeat..21","chr.22","from.22","to.22","data_type.22","target.22","cancer_type.22","labeling_type.22","repeat..22","chr.23","from.23","to.23","data_type.23","target.23","cancer_type.23","labeling_type.23","repeat..23","chr.24","from.24","to.24","data_type.24","target.24","cancer_type.24","labeling_type.24","repeat..24","chr.25","from.25","to.25","data_type.25","target.25","cancer_type.25","labeling_type.25","repeat..25","chr.26","from.26","to.26","data_type.26","target.26","cancer_type.26","labeling_type.26","repeat..26","chr.27","from.27","to.27","data_type.27","target.27","cancer_type.27","labeling_type.27","repeat..27","chr.28","from.28","to.28","data_type.28","target.28","cancer_type.28","labeling_type.28","repeat..28","chr.29","from.29","to.29","data_type.29","target.29","cancer_type.29","labeling_type.29","repeat..29"
"371","6",32900000,3.3e+07,"train","X0","bone","99.",1,"6",31300000,31400000,"train","X0","bone","99.",2,"6",31300000,31400000,"train","X0","bone","99.",3,"6",18200000,18300000,"train","X0","bone","99.",4,"6",26600000,26700000,"train","X0","bone","99.",5,"6",45500000,45600000,"train","X0","bone","99.",6,"6",3.3e+07,33100000,"train","X0","bone","99.",7,"6",45800000,45900000,"train","X0","bone","99.",8,"6",3.3e+07,33100000,"train","X0","bone","99.",9,"6",44200000,44300000,"train","X0","bone","99.",10,"5",167900000,1.68e+08,"train","X0","bone","99.",11,"6",21200000,21300000,"train","X0","bone","99.",12,"6",46300000,46400000,"train","X0","bone","99.",13,"6",28800000,28900000,"train","X0","bone","99.",14,"6",8300000,8400000,"train","X0","bone","99.",15,"6",2500000,2600000,"train","X0","bone","99.",16,"6",28800000,28900000,"train","X0","bone","99.",17,"6",26600000,26700000,"train","X0","bone","99.",18,"6",44200000,44300000,"train","X0","bone","99.",19,"6",66200000,66300000,"train","X0","bone","99.",20,"6",32900000,3.3e+07,"train","X0","bone","99.",21,"6",28800000,28900000,"train","X0","bone","99.",22,"6",31300000,31400000,"train","X0","bone","99.",23,"6",46300000,46400000,"train","X0","bone","99.",24,"6",5.5e+07,55100000,"train","X0","bone","99.",25,"6",1.8e+07,18100000,"train","X0","bone","99.",26,"6",8400000,8500000,"train","X0","bone","99.",27,"6",30100000,30200000,"train","X0","bone","99.",28,"6",8300000,8400000,"train","X0","bone","99.",29,"6",21400000,21500000,"train","X0","bone","99.",30
"373","6",35700000,35800000,"train","X0","bone","99.",1,"6",32900000,3.3e+07,"train","X0","bone","99.",2,"6",3.3e+07,33100000,"train","X0","bone","99.",3,"6",19600000,19700000,"train","X0","bone","99.",4,"6",30100000,30200000,"train","X0","bone","99.",5,"6",45700000,45800000,"train","X0","bone","99.",6,"6",35700000,35800000,"train","X0","bone","99.",7,"6",46300000,46400000,"train","X0","bone","99.",8,"6",36200000,36300000,"train","X0","bone","99.",9,"6",45700000,45800000,"train","X0","bone","99.",10,"5",175700000,175800000,"train","X0","bone","99.",11,"6",26600000,26700000,"train","X0","bone","99.",12,"6",52900000,5.3e+07,"train","X0","bone","99.",13,"6",30100000,30200000,"train","X0","bone","99.",14,"6",8400000,8500000,"train","X0","bone","99.",15,"6",6600000,6700000,"train","X0","bone","99.",16,"6",30100000,30200000,"train","X0","bone","99.",17,"6",30100000,30200000,"train","X0","bone","99.",18,"6",45500000,45600000,"train","X0","bone","99.",19,"6",67200000,67300000,"train","X0","bone","99.",20,"6",36200000,36300000,"train","X0","bone","99.",21,"6",30100000,30200000,"train","X0","bone","99.",22,"6",3.3e+07,33100000,"train","X0","bone","99.",23,"6",52900000,5.3e+07,"train","X0","bone","99.",24,"6",65600000,65700000,"train","X0","bone","99.",25,"6",18200000,18300000,"train","X0","bone","99.",26,"6",9400000,9500000,"train","X0","bone","99.",27,"6",32900000,3.3e+07,"train","X0","bone","99.",28,"6",8400000,8500000,"train","X0","bone","99.",29,"6",26600000,26700000,"train","X0","bone","99.",30
"374","6",36200000,36300000,"train","X0","bone","99.",1,"6",36200000,36300000,"train","X0","bone","99.",2,"6",36200000,36300000,"train","X0","bone","99.",3,"6",19800000,19900000,"train","X0","bone","99.",4,"6",31300000,31400000,"train","X0","bone","99.",5,"6",52900000,5.3e+07,"train","X0","bone","99.",6,"6",44200000,44300000,"train","X0","bone","99.",7,"6",52900000,5.3e+07,"train","X0","bone","99.",8,"6",44200000,44300000,"train","X0","bone","99.",9,"6",45800000,45900000,"train","X0","bone","99.",10,"5",179700000,179800000,"train","X0","bone","99.",11,"6",28800000,28900000,"train","X0","bone","99.",12,"6",5.5e+07,55100000,"train","X0","bone","99.",13,"6",30200000,30300000,"train","X0","bone","99.",14,"6",9400000,9500000,"train","X0","bone","99.",15,"6",6700000,6800000,"train","X0","bone","99.",16,"6",30200000,30300000,"train","X0","bone","99.",17,"6",31300000,31400000,"train","X0","bone","99.",18,"6",45700000,45800000,"train","X0","bone","99.",19,"6",76500000,76600000,"train","X0","bone","99.",20,"6",44200000,44300000,"train","X0","bone","99.",21,"6",30200000,30300000,"train","X0","bone","99.",22,"6",36200000,36300000,"train","X0","bone","99.",23,"6",5.5e+07,55100000,"train","X0","bone","99.",24,"6",66200000,66300000,"train","X0","bone","99.",25,"6",19600000,19700000,"train","X0","bone","99.",26,"6",1.8e+07,18100000,"train","X0","bone","99.",27,"6",3.3e+07,33100000,"train","X0","bone","99.",28,"6",1.8e+07,18100000,"train","X0","bone","99.",29,"6",30200000,30300000,"train","X0","bone","99.",30
"375","6",44200000,44300000,"train","X0","bone","99.",1,"6",45500000,45600000,"train","X0","bone","99.",2,"6",44200000,44300000,"train","X0","bone","99.",3,"6",21200000,21300000,"train","X0","bone","99.",4,"6",32900000,3.3e+07,"train","X0","bone","99.",5,"6",5.5e+07,55100000,"train","X0","bone","99.",6,"6",45800000,45900000,"train","X0","bone","99.",7,"6",5.5e+07,55100000,"train","X0","bone","99.",8,"6",45800000,45900000,"train","X0","bone","99.",9,"6",46300000,46400000,"train","X0","bone","99.",10,"5",180600000,180700000,"train","X0","bone","99.",11,"6",30100000,30200000,"train","X0","bone","99.",12,"6",56400000,56500000,"train","X0","bone","99.",13,"6",31300000,31400000,"train","X0","bone","99.",14,"6",1.8e+07,18100000,"train","X0","bone","99.",15,"6",8400000,8500000,"train","X0","bone","99.",16,"6",32900000,3.3e+07,"train","X0","bone","99.",17,"6",32900000,3.3e+07,"train","X0","bone","99.",18,"6",45800000,45900000,"train","X0","bone","99.",19,"6",78200000,78300000,"train","X0","bone","99.",20,"6",45500000,45600000,"train","X0","bone","99.",21,"6",31300000,31400000,"train","X0","bone","99.",22,"6",45700000,45800000,"train","X0","bone","99.",23,"6",56400000,56500000,"train","X0","bone","99.",24,"6",67200000,67300000,"train","X0","bone","99.",25,"6",21100000,21200000,"train","X0","bone","99.",26,"6",18200000,18300000,"train","X0","bone","99.",27,"6",45500000,45600000,"train","X0","bone","99.",28,"6",18200000,18300000,"train","X0","bone","99.",29,"6",31300000,31400000,"train","X0","bone","99.",30
"377","6",45700000,45800000,"train","X0","bone","99.",1,"6",45700000,45800000,"train","X0","bone","99.",2,"6",45500000,45600000,"train","X0","bone","99.",3,"6",21400000,21500000,"train","X0","bone","99.",4,"6",3.3e+07,33100000,"train","X0","bone","99.",5,"6",65600000,65700000,"train","X0","bone","99.",6,"6",46300000,46400000,"train","X0","bone","99.",7,"6",56400000,56500000,"train","X0","bone","99.",8,"6",46300000,46400000,"train","X0","bone","99.",9,"6",52900000,5.3e+07,"train","X0","bone","99.",10,"6",2100000,2200000,"train","X0","bone","99.",11,"6",32900000,3.3e+07,"train","X0","bone","99.",12,"6",65600000,65700000,"train","X0","bone","99.",13,"6",32900000,3.3e+07,"train","X0","bone","99.",14,"6",18200000,18300000,"train","X0","bone","99.",15,"6",9400000,9500000,"train","X0","bone","99.",16,"6",3.3e+07,33100000,"train","X0","bone","99.",17,"6",3.3e+07,33100000,"train","X0","bone","99.",18,"6",52900000,5.3e+07,"train","X0","bone","99.",19,"6",79200000,79300000,"train","X0","bone","99.",20,"6",45700000,45800000,"train","X0","bone","99.",21,"6",32900000,3.3e+07,"train","X0","bone","99.",22,"6",45800000,45900000,"train","X0","bone","99.",23,"6",65600000,65700000,"train","X0","bone","99.",24,"6",69700000,69800000,"train","X0","bone","99.",25,"6",21200000,21300000,"train","X0","bone","99.",26,"6",19600000,19700000,"train","X0","bone","99.",27,"6",45800000,45900000,"train","X0","bone","99.",28,"6",19600000,19700000,"train","X0","bone","99.",29,"6",32900000,3.3e+07,"train","X0","bone","99.",30
"378","6",45800000,45900000,"train","X0","bone","99.",1,"6",45800000,45900000,"train","X0","bone","99.",2,"6",45700000,45800000,"train","X0","bone","99.",3,"6",26600000,26700000,"train","X0","bone","99.",4,"6",44200000,44300000,"train","X0","bone","99.",5,"6",66200000,66300000,"train","X0","bone","99.",6,"6",5.5e+07,55100000,"train","X0","bone","99.",7,"6",65600000,65700000,"train","X0","bone","99.",8,"6",52900000,5.3e+07,"train","X0","bone","99.",9,"6",5.5e+07,55100000,"train","X0","bone","99.",10,"6",2500000,2600000,"train","X0","bone","99.",11,"6",3.3e+07,33100000,"train","X0","bone","99.",12,"6",66200000,66300000,"train","X0","bone","99.",13,"6",3.3e+07,33100000,"train","X0","bone","99.",14,"6",19800000,19900000,"train","X0","bone","99.",15,"6",18200000,18300000,"train","X0","bone","99.",16,"6",44200000,44300000,"train","X0","bone","99.",17,"6",36200000,36300000,"train","X0","bone","99.",18,"6",5.5e+07,55100000,"train","X0","bone","99.",19,"6",79700000,79800000,"train","X0","bone","99.",20,"6",45800000,45900000,"train","X0","bone","99.",21,"6",3.3e+07,33100000,"train","X0","bone","99.",22,"6",46300000,46400000,"train","X0","bone","99.",23,"6",67200000,67300000,"train","X0","bone","99.",24,"6",79700000,79800000,"train","X0","bone","99.",25,"6",21400000,21500000,"train","X0","bone","99.",26,"6",19800000,19900000,"train","X0","bone","99.",27,"6",46300000,46400000,"train","X0","bone","99.",28,"6",19800000,19900000,"train","X0","bone","99.",29,"6",3.3e+07,33100000,"train","X0","bone","99.",30
"380","6",52900000,5.3e+07,"train","X0","bone","99.",1,"6",46300000,46400000,"train","X0","bone","99.",2,"6",45800000,45900000,"train","X0","bone","99.",3,"6",28800000,28900000,"train","X0","bone","99.",4,"6",45500000,45600000,"train","X0","bone","99.",5,"6",69700000,69800000,"train","X0","bone","99.",6,"6",66200000,66300000,"train","X0","bone","99.",7,"6",66200000,66300000,"train","X0","bone","99.",8,"6",5.5e+07,55100000,"train","X0","bone","99.",9,"6",56400000,56500000,"train","X0","bone","99.",10,"6",6700000,6800000,"train","X0","bone","99.",11,"6",45800000,45900000,"train","X0","bone","99.",12,"6",67200000,67300000,"train","X0","bone","99.",13,"6",35700000,35800000,"train","X0","bone","99.",14,"6",21100000,21200000,"train","X0","bone","99.",15,"6",19600000,19700000,"train","X0","bone","99.",16,"6",45800000,45900000,"train","X0","bone","99.",17,"6",44200000,44300000,"train","X0","bone","99.",18,"6",56400000,56500000,"train","X0","bone","99.",19,"6",79800000,79900000,"train","X0","bone","99.",20,"6",46300000,46400000,"train","X0","bone","99.",21,"6",35700000,35800000,"train","X0","bone","99.",22,"6",52900000,5.3e+07,"train","X0","bone","99.",23,"6",69700000,69800000,"train","X0","bone","99.",24,"6",80600000,80700000,"train","X0","bone","99.",25,"6",26600000,26700000,"train","X0","bone","99.",26,"6",21400000,21500000,"train","X0","bone","99.",27,"6",52900000,5.3e+07,"train","X0","bone","99.",28,"6",21100000,21200000,"train","X0","bone","99.",29,"6",35700000,35800000,"train","X0","bone","99.",30
"382","6",56400000,56500000,"train","X0","bone","99.",1,"6",52900000,5.3e+07,"train","X0","bone","99.",2,"6",46300000,46400000,"train","X0","bone","99.",3,"6",30100000,30200000,"train","X0","bone","99.",4,"6",45700000,45800000,"train","X0","bone","99.",5,"6",76500000,76600000,"train","X0","bone","99.",6,"6",67200000,67300000,"train","X0","bone","99.",7,"6",76500000,76600000,"train","X0","bone","99.",8,"6",65600000,65700000,"train","X0","bone","99.",9,"6",65600000,65700000,"train","X0","bone","99.",10,"6",8400000,8500000,"train","X0","bone","99.",11,"6",46300000,46400000,"train","X0","bone","99.",12,"6",69700000,69800000,"train","X0","bone","99.",13,"6",36200000,36300000,"train","X0","bone","99.",14,"6",30100000,30200000,"train","X0","bone","99.",15,"6",19800000,19900000,"train","X0","bone","99.",16,"6",46300000,46400000,"train","X0","bone","99.",17,"6",45500000,45600000,"train","X0","bone","99.",18,"6",65600000,65700000,"train","X0","bone","99.",19,"6",8e+07,80100000,"train","X0","bone","99.",20,"6",52900000,5.3e+07,"train","X0","bone","99.",21,"6",36200000,36300000,"train","X0","bone","99.",22,"6",5.5e+07,55100000,"train","X0","bone","99.",23,"6",76500000,76600000,"train","X0","bone","99.",24,"6",84400000,84500000,"train","X0","bone","99.",25,"6",30100000,30200000,"train","X0","bone","99.",26,"6",26600000,26700000,"train","X0","bone","99.",27,"6",5.5e+07,55100000,"train","X0","bone","99.",28,"6",21400000,21500000,"train","X0","bone","99.",29,"6",45800000,45900000,"train","X0","bone","99.",30
"383","6",65600000,65700000,"train","X0","bone","99.",1,"6",56400000,56500000,"train","X0","bone","99.",2,"6",52900000,5.3e+07,"train","X0","bone","99.",3,"6",30200000,30300000,"train","X0","bone","99.",4,"6",46300000,46400000,"train","X0","bone","99.",5,"6",78200000,78300000,"train","X0","bone","99.",6,"6",69700000,69800000,"train","X0","bone","99.",7,"6",79200000,79300000,"train","X0","bone","99.",8,"6",67200000,67300000,"train","X0","bone","99.",9,"6",66200000,66300000,"train","X0","bone","99.",10,"6",9400000,9500000,"train","X0","bone","99.",11,"6",52900000,5.3e+07,"train","X0","bone","99.",12,"6",76500000,76600000,"train","X0","bone","99.",13,"6",44200000,44300000,"train","X0","bone","99.",14,"6",31300000,31400000,"train","X0","bone","99.",15,"6",21200000,21300000,"train","X0","bone","99.",16,"6",52900000,5.3e+07,"train","X0","bone","99.",17,"6",45800000,45900000,"train","X0","bone","99.",18,"6",66200000,66300000,"train","X0","bone","99.",19,"6",84400000,84500000,"train","X0","bone","99.",20,"6",56400000,56500000,"train","X0","bone","99.",21,"6",44200000,44300000,"train","X0","bone","99.",22,"6",65600000,65700000,"train","X0","bone","99.",23,"6",78200000,78300000,"train","X0","bone","99.",24,"6",90500000,90600000,"train","X0","bone","99.",25,"6",31300000,31400000,"train","X0","bone","99.",26,"6",28800000,28900000,"train","X0","bone","99.",27,"6",56400000,56500000,"train","X0","bone","99.",28,"6",26600000,26700000,"train","X0","bone","99.",29,"6",52900000,5.3e+07,"train","X0","bone","99.",30
"384","6",66200000,66300000,"train","X0","bone","99.",1,"6",65600000,65700000,"train","X0","bone","99.",2,"6",56400000,56500000,"train","X0","bone","99.",3,"6",31300000,31400000,"train","X0","bone","99.",4,"6",52900000,5.3e+07,"train","X0","bone","99.",5,"6",79200000,79300000,"train","X0","bone","99.",6,"6",76500000,76600000,"train","X0","bone","99.",7,"6",79800000,79900000,"train","X0","bone","99.",8,"6",69700000,69800000,"train","X0","bone","99.",9,"6",67200000,67300000,"train","X0","bone","99.",10,"6",1.8e+07,18100000,"train","X0","bone","99.",11,"6",5.5e+07,55100000,"train","X0","bone","99.",12,"6",79800000,79900000,"train","X0","bone","99.",13,"6",45500000,45600000,"train","X0","bone","99.",14,"6",32900000,3.3e+07,"train","X0","bone","99.",15,"6",26600000,26700000,"train","X0","bone","99.",16,"6",5.5e+07,55100000,"train","X0","bone","99.",17,"6",46300000,46400000,"train","X0","bone","99.",18,"6",67200000,67300000,"train","X0","bone","99.",19,"6",90500000,90600000,"train","X0","bone","99.",20,"6",66200000,66300000,"train","X0","bone","99.",21,"6",45700000,45800000,"train","X0","bone","99.",22,"6",66200000,66300000,"train","X0","bone","99.",23,"6",79700000,79800000,"train","X0","bone","99.",24,"6",97300000,97400000,"train","X0","bone","99.",25,"6",32900000,3.3e+07,"train","X0","bone","99.",26,"6",30100000,30200000,"train","X0","bone","99.",27,"6",65600000,65700000,"train","X0","bone","99.",28,"6",28800000,28900000,"train","X0","bone","99.",29,"6",5.5e+07,55100000,"train","X0","bone","99.",30
"385","6",67200000,67300000,"train","X0","bone","99.",1,"6",66200000,66300000,"train","X0","bone","99.",2,"6",65600000,65700000,"train","X0","bone","99.",3,"6",32900000,3.3e+07,"train","X0","bone","99.",4,"6",5.5e+07,55100000,"train","X0","bone","99.",5,"6",79700000,79800000,"train","X0","bone","99.",6,"6",78200000,78300000,"train","X0","bone","99.",7,"6",8e+07,80100000,"train","X0","bone","99.",8,"6",76500000,76600000,"train","X0","bone","99.",9,"6",69700000,69800000,"train","X0","bone","99.",10,"6",19600000,19700000,"train","X0","bone","99.",11,"6",56400000,56500000,"train","X0","bone","99.",12,"6",8e+07,80100000,"train","X0","bone","99.",13,"6",45800000,45900000,"train","X0","bone","99.",14,"6",35700000,35800000,"train","X0","bone","99.",15,"6",30200000,30300000,"train","X0","bone","99.",16,"6",65600000,65700000,"train","X0","bone","99.",17,"6",56400000,56500000,"train","X0","bone","99.",18,"6",69700000,69800000,"train","X0","bone","99.",19,"6",97300000,97400000,"train","X0","bone","99.",20,"6",69700000,69800000,"train","X0","bone","99.",21,"6",45800000,45900000,"train","X0","bone","99.",22,"6",76500000,76600000,"train","X0","bone","99.",23,"6",8e+07,80100000,"train","X0","bone","99.",24,"6",108200000,108300000,"train","X0","bone","99.",25,"6",3.3e+07,33100000,"train","X0","bone","99.",26,"6",31300000,31400000,"train","X0","bone","99.",27,"6",66200000,66300000,"train","X0","bone","99.",28,"6",30100000,30200000,"train","X0","bone","99.",29,"6",65600000,65700000,"train","X0","bone","99.",30
"386","6",69700000,69800000,"train","X0","bone","99.",1,"6",69700000,69800000,"train","X0","bone","99.",2,"6",66200000,66300000,"train","X0","bone","99.",3,"6",35700000,35800000,"train","X0","bone","99.",4,"6",56400000,56500000,"train","X0","bone","99.",5,"6",8e+07,80100000,"train","X0","bone","99.",6,"6",79200000,79300000,"train","X0","bone","99.",7,"6",80600000,80700000,"train","X0","bone","99.",8,"6",78200000,78300000,"train","X0","bone","99.",9,"6",78200000,78300000,"train","X0","bone","99.",10,"6",19800000,19900000,"train","X0","bone","99.",11,"6",65600000,65700000,"train","X0","bone","99.",12,"6",80600000,80700000,"train","X0","bone","99.",13,"6",52900000,5.3e+07,"train","X0","bone","99.",14,"6",36200000,36300000,"train","X0","bone","99.",15,"6",31300000,31400000,"train","X0","bone","99.",16,"6",67200000,67300000,"train","X0","bone","99.",17,"6",65600000,65700000,"train","X0","bone","99.",18,"6",76500000,76600000,"train","X0","bone","99.",19,"6",108200000,108300000,"train","X0","bone","99.",20,"6",76500000,76600000,"train","X0","bone","99.",21,"6",46300000,46400000,"train","X0","bone","99.",22,"6",78200000,78300000,"train","X0","bone","99.",23,"6",80600000,80700000,"train","X0","bone","99.",24,"6",115600000,115700000,"train","X0","bone","99.",25,"6",35700000,35800000,"train","X0","bone","99.",26,"6",32900000,3.3e+07,"train","X0","bone","99.",27,"6",67200000,67300000,"train","X0","bone","99.",28,"6",32900000,3.3e+07,"train","X0","bone","99.",29,"6",76500000,76600000,"train","X0","bone","99.",30
"387","6",76500000,76600000,"train","X0","bone","99.",1,"6",76500000,76600000,"train","X0","bone","99.",2,"6",67200000,67300000,"train","X0","bone","99.",3,"6",36200000,36300000,"train","X0","bone","99.",4,"6",65600000,65700000,"train","X0","bone","99.",5,"6",80600000,80700000,"train","X0","bone","99.",6,"6",8e+07,80100000,"train","X0","bone","99.",7,"6",84400000,84500000,"train","X0","bone","99.",8,"6",79200000,79300000,"train","X0","bone","99.",9,"6",79800000,79900000,"train","X0","bone","99.",10,"6",21200000,21300000,"train","X0","bone","99.",11,"6",66200000,66300000,"train","X0","bone","99.",12,"6",84400000,84500000,"train","X0","bone","99.",13,"6",5.5e+07,55100000,"train","X0","bone","99.",14,"6",44200000,44300000,"train","X0","bone","99.",15,"6",32900000,3.3e+07,"train","X0","bone","99.",16,"6",69700000,69800000,"train","X0","bone","99.",17,"6",67200000,67300000,"train","X0","bone","99.",18,"6",79700000,79800000,"train","X0","bone","99.",19,"6",115600000,115700000,"train","X0","bone","99.",20,"6",79200000,79300000,"train","X0","bone","99.",21,"6",52900000,5.3e+07,"train","X0","bone","99.",22,"6",79700000,79800000,"train","X0","bone","99.",23,"6",84400000,84500000,"train","X0","bone","99.",24,"6",116400000,116500000,"train","X0","bone","99.",25,"6",36200000,36300000,"train","X0","bone","99.",26,"6",35700000,35800000,"train","X0","bone","99.",27,"6",69700000,69800000,"train","X0","bone","99.",28,"6",3.3e+07,33100000,"train","X0","bone","99.",29,"6",78200000,78300000,"train","X0","bone","99.",30
"388","6",78200000,78300000,"train","X0","bone","99.",1,"6",78200000,78300000,"train","X0","bone","99.",2,"6",78200000,78300000,"train","X0","bone","99.",3,"6",44200000,44300000,"train","X0","bone","99.",4,"6",66200000,66300000,"train","X0","bone","99.",5,"6",84400000,84500000,"train","X0","bone","99.",6,"6",80600000,80700000,"train","X0","bone","99.",7,"6",92600000,92700000,"train","X0","bone","99.",8,"6",79700000,79800000,"train","X0","bone","99.",9,"6",8e+07,80100000,"train","X0","bone","99.",10,"6",21400000,21500000,"train","X0","bone","99.",11,"6",67200000,67300000,"train","X0","bone","99.",12,"6",87400000,87500000,"train","X0","bone","99.",13,"6",65600000,65700000,"train","X0","bone","99.",14,"6",45500000,45600000,"train","X0","bone","99.",15,"6",3.3e+07,33100000,"train","X0","bone","99.",16,"6",76500000,76600000,"train","X0","bone","99.",17,"6",76500000,76600000,"train","X0","bone","99.",18,"6",8e+07,80100000,"train","X0","bone","99.",19,"6",116400000,116500000,"train","X0","bone","99.",20,"6",79700000,79800000,"train","X0","bone","99.",21,"6",5.5e+07,55100000,"train","X0","bone","99.",22,"6",79800000,79900000,"train","X0","bone","99.",23,"6",90500000,90600000,"train","X0","bone","99.",24,"6",128800000,128900000,"train","X0","bone","99.",25,"6",45500000,45600000,"train","X0","bone","99.",26,"6",44200000,44300000,"train","X0","bone","99.",27,"6",76500000,76600000,"train","X0","bone","99.",28,"6",35700000,35800000,"train","X0","bone","99.",29,"6",79700000,79800000,"train","X0","bone","99.",30
"391","6",79800000,79900000,"train","X0","bone","99.",1,"6",79200000,79300000,"train","X0","bone","99.",2,"6",79200000,79300000,"train","X0","bone","99.",3,"6",45500000,45600000,"train","X0","bone","99.",4,"6",67200000,67300000,"train","X0","bone","99.",5,"6",87400000,87500000,"train","X0","bone","99.",6,"6",90500000,90600000,"train","X0","bone","99.",7,"6",97300000,97400000,"train","X0","bone","99.",8,"6",79800000,79900000,"train","X0","bone","99.",9,"6",80600000,80700000,"train","X0","bone","99.",10,"6",30100000,30200000,"train","X0","bone","99.",11,"6",69700000,69800000,"train","X0","bone","99.",12,"6",90500000,90600000,"train","X0","bone","99.",13,"6",66200000,66300000,"train","X0","bone","99.",14,"6",45800000,45900000,"train","X0","bone","99.",15,"6",35700000,35800000,"train","X0","bone","99.",16,"6",78200000,78300000,"train","X0","bone","99.",17,"6",78200000,78300000,"train","X0","bone","99.",18,"6",80600000,80700000,"train","X0","bone","99.",19,"6",128800000,128900000,"train","X0","bone","99.",20,"6",80600000,80700000,"train","X0","bone","99.",21,"6",66200000,66300000,"train","X0","bone","99.",22,"6",8e+07,80100000,"train","X0","bone","99.",23,"6",92600000,92700000,"train","X0","bone","99.",24,"6",134500000,134600000,"train","X0","bone","99.",25,"6",45700000,45800000,"train","X0","bone","99.",26,"6",45700000,45800000,"train","X0","bone","99.",27,"6",78200000,78300000,"train","X0","bone","99.",28,"6",36200000,36300000,"train","X0","bone","99.",29,"6",79800000,79900000,"train","X0","bone","99.",30
"392","6",8e+07,80100000,"train","X0","bone","99.",1,"6",79700000,79800000,"train","X0","bone","99.",2,"6",79700000,79800000,"train","X0","bone","99.",3,"6",45700000,45800000,"train","X0","bone","99.",4,"6",69700000,69800000,"train","X0","bone","99.",5,"6",90500000,90600000,"train","X0","bone","99.",6,"6",92600000,92700000,"train","X0","bone","99.",7,"6",115600000,115700000,"train","X0","bone","99.",8,"6",8e+07,80100000,"train","X0","bone","99.",9,"6",87400000,87500000,"train","X0","bone","99.",10,"6",31300000,31400000,"train","X0","bone","99.",11,"6",76500000,76600000,"train","X0","bone","99.",12,"6",92600000,92700000,"train","X0","bone","99.",13,"6",69700000,69800000,"train","X0","bone","99.",14,"6",46300000,46400000,"train","X0","bone","99.",15,"6",36200000,36300000,"train","X0","bone","99.",16,"6",79200000,79300000,"train","X0","bone","99.",17,"6",92600000,92700000,"train","X0","bone","99.",18,"6",84400000,84500000,"train","X0","bone","99.",19,"6",134500000,134600000,"train","X0","bone","99.",20,"6",84400000,84500000,"train","X0","bone","99.",21,"6",67200000,67300000,"train","X0","bone","99.",22,"6",80600000,80700000,"train","X0","bone","99.",23,"6",97300000,97400000,"train","X0","bone","99.",24,"6",137100000,137200000,"train","X0","bone","99.",25,"6",45800000,45900000,"train","X0","bone","99.",26,"6",45800000,45900000,"train","X0","bone","99.",27,"6",79800000,79900000,"train","X0","bone","99.",28,"6",45500000,45600000,"train","X0","bone","99.",29,"6",80600000,80700000,"train","X0","bone","99.",30
